hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Cigna,Ppo,,60,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Cigna,Hmo,,45,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Community Care Plan,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Community Care Plan,Healthy Kids Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Evolutions Healthcare,Prime Other Commercial Plan,,70,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Evolutions Healthcare,Select Ppo,,90,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Florida Community Care,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Gulf Coast Provider Network,All Commercial Plans,,75,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Humana,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Molina,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, urinary tract",2040,APC,,,,,facility,outpatient,,,,,,Multiplan,All Commercial Plans,,78,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
