hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
HC PLACE CATH CAROTID/INOM ART W/ ANGIO EXTRACRANIAL,31060281,CDM,310,RC,88291,HCPCS,facility,both,,,,254,254,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CLOTTING; FACTOR VIII RELATED ANTIGEN,31060285,CDM,310,RC,81479,HCPCS,facility,both,,,,2315,2315,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC COAG TIME; ACTIVATED,31060286,CDM,310,RC,81440,HCPCS,facility,both,,,,10686,10686,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC OSMOTIC FRAGILITY RBC; UNINCUBATED,31060287,CDM,310,RC,81460,HCPCS,facility,both,,,,3861,3861,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC LAB BACTERIOLOY AND MICROBIOLOGY,31060288,CDM,310,RC,81465,HCPCS,facility,both,,,,2808,2808,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HIV-1 AG W/HIV-1 & HIV-2 AB,31060289,CDM,310,RC,81470,HCPCS,facility,both,,,,2742,2742,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HERPES 6 NA QUAN,31060290,CDM,310,RC,81471,HCPCS,facility,both,,,,2742,2742,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CHEMODENERV 1 EXTREM 5/> MUS,31060300,CDM,310,RC,81269,HCPCS,facility,both,,,,1124,1124,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CHEMODENERV 1 EXTREM 5/> EA,31060302,CDM,310,RC,81434,HCPCS,facility,both,,,,1922,1922,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HUGGIE AND CATCHER,31060303,CDM,310,RC,81419,HCPCS,facility,both,,,,5020,5020,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC THRMB/INFUS DIAL CIRC & INTRAPRC PHARM THRMB INJ,31060308,CDM,310,RC,81243,HCPCS,facility,both,,,,185,185,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC THRMB/INFUS DIAL CIRC W/TRNSLUM BAL ANGIOPLASTY,31060309,CDM,310,RC,81244,HCPCS,facility,both,,,,146,146,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC FLOW CYTOMETRY TC 1ST MARKER,31100002,CDM,311,RC,88142,HCPCS,facility,both,,,,66,66,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC FLOW CYTOMETRY EA ADDTL MARKER,31100004,CDM,311,RC,88172,HCPCS,facility,both,,,,174,174,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC FLOW CYTOMETRY TC 1ST MARKER,31100004,CDM,311,RC,88172,HCPCS,facility,both,,,,323,323,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC TISSUE CULTURE; LYMPHOCYTE,31100005,CDM,311,RC,88173,HCPCS,facility,both,,,,322,322,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC FLOW CYTOMETRY EA ADDTL MARKER,31100005,CDM,311,RC,88173,HCPCS,facility,both,,,,93,93,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC TISSUE CULTURE; SKIN OR SOLID BX,31100006,CDM,311,RC,88184,HCPCS,facility,both,,,,50,50,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC TISSUE CULTURE; LYMPHOCYTE,31100006,CDM,311,RC,88184,HCPCS,facility,both,,,,665,665,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CHROM ANALY; 20-25 CELLS,31100007,CDM,310,RC,88240,HCPCS,facility,both,,,,174,174,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC DRAIN/INJ MAJOR JOINT/BURSA W/US,31100007,CDM,310,RC,88240,HCPCS,facility,both,,,,123,123,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC CELL COUNT NOT BLOOD,31100009,CDM,310,RC,88348,HCPCS,facility,both,,,,2183,2183,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC DIFF CELL COUNT NOT BLOOD,31100009,CDM,310,RC,88348,HCPCS,facility,both,,,,755,755,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC COLLECT SWEAT FOR TEST,31100010,CDM,312,RC,88365,HCPCS,facility,both,,,,162,162,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC PHLEBOTOMY THERAPEUTIC,31100010,CDM,312,RC,88365,HCPCS,facility,both,,,,388,388,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC INJECTION FOR WRIST ARTHROGRAPHY,31100051,CDM,319,RC,88182,HCPCS,facility,both,,,,750,750,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CALC GENE COM VARIANTS (210),31100061,CDM,312,RC,88364,HCPCS,facility,both,,,,259,259,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC DRUG TEST(S); READ BY DIRECT OPTICAL OBSER ONLY,31100063,CDM,311,RC,88184,HCPCS,facility,both,,,,232,232,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC UNLISTED CARDIOVASCULAR SERVICE,31100064,CDM,311,RC,88185,HCPCS,facility,both,,,,74,74,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PLACE CATH CAROTID/INOM ART W/ ANGIO INTRACRANIAL,31160001,CDM,311,RC,88187,HCPCS,facility,both,,,,334,334,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PLACE CATH CAROTD ART,31160002,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PLACE CATH SUBCLAVIAN ART,31160003,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PLACE CATH VERTEBRAL ART,31160004,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC THROMBOLYTIC ART THERAPY,31160005,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC THROMBOLYTIC VENOUS THERAPY,31160006,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC THROMBLYTIC ART/VEN THERAPY,31160007,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CESSJ THERAPY CATH REMOVAL,31160008,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PERQ&IC ALLG TEST DRUGS/BIOL,31160009,CDM,311,RC,88187,HCPCS,facility,both,,,,358,358,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC INGEST CHALLENGE INIITIAL 120 MIN,31160010,CDM,311,RC,88189,HCPCS,facility,both,,,,558,558,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC AMINO ACIDS; SINGLE QUAL EA,31200000,CDM,312,RC,,,facility,both,,,,1.2,1.2,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC EVAL OF FNA; INT & REP,31200001,CDM,311,RC,88108,HCPCS,facility,both,,,,93,93,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC EVAL OF FNA; INT & REP,31200001,CDM,311,RC,88108,HCPCS,facility,both,,,,176,176,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC TISSUE EXAM BY PATHOLOGIST LVL 3,31200002,CDM,310,RC,88300,HCPCS,facility,both,,,,173,173,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC TISSUE EXAM BY PATHOLOGIST LVL 3,31200002,CDM,310,RC,88300,HCPCS,facility,both,,,,56,56,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC TISSUE EXAM BY PATHOLOGIST LVL 4,31200003,CDM,310,RC,88302,HCPCS,facility,both,,,,201,201,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC TISSUE EXAM BY PATHOLOGIST LVL 4,31200003,CDM,310,RC,88302,HCPCS,facility,both,,,,98,98,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC TISSUE EXAM BY PATHOLOGIST LVL 5,31200004,CDM,310,RC,88304,HCPCS,facility,both,,,,323,323,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC TISSUE EXAM BY PATHOLOGIST LVL 6,31200004,CDM,310,RC,88304,HCPCS,facility,both,,,,152,152,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC DECALCIFICATION,31200005,CDM,310,RC,88307,HCPCS,facility,both,,,,1091,1091,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC SPECIAL STAINS GROUP 1,31200005,CDM,310,RC,88307,HCPCS,facility,both,,,,341,341,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC SPECIAL STAINS GROUP 1,31200006,CDM,310,RC,88309,HCPCS,facility,both,,,,444,444,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC SPECIAL STAINS GROUP 2,31200006,CDM,310,RC,88309,HCPCS,facility,both,,,,1596,1596,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC SPECIAL STAINS GROUP 2,31200007,CDM,310,RC,88311,HCPCS,facility,both,,,,126,126,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HISTOCHEMICAL STAINS ADD-ON,31200007,CDM,310,RC,88311,HCPCS,facility,both,,,,56,56,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC HISTOCHEMICAL STAINS ADD-ON,31200008,CDM,310,RC,88312,HCPCS,facility,both,,,,98,98,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC ENZYME HISTOCHEMISTRY,31200008,CDM,310,RC,88312,HCPCS,facility,both,,,,371,371,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC SP CONSULT; 1ST TB W FS SGL SP,31200009,CDM,310,RC,88313,HCPCS,facility,both,,,,98,98,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC ENZYME HISTOCHEMISTRY,31200009,CDM,310,RC,88313,HCPCS,facility,both,,,,388,388,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PATH CONSULT INTRAOP ADDL,31200010,CDM,310,RC,88314,HCPCS,facility,both,,,,345,345,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC SP CONSULT; 1ST TB W FS SGL SP,31200010,CDM,310,RC,88314,HCPCS,facility,both,,,,98,98,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC INTRAOP CYTO PATH CONSULT 2,31200011,CDM,310,RC,88331,HCPCS,facility,both,,,,189,189,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
"HC IF STAIN , INITIAL",31200011,CDM,310,RC,88331,HCPCS,facility,both,,,,714,714,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC IF STAIN , INITIAL",31200012,CDM,310,RC,88332,HCPCS,facility,both,,,,222,222,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ELECTRON MICRO; DX,31200012,CDM,310,RC,88332,HCPCS,facility,both,,,,178,178,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC INGEST CHALLENGE ADDL 60 MIN,31260001,CDM,312,RC,88321,HCPCS,facility,both,,,,122,122,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC HA DIGITIAL, STANDARD, MONAURAL, ITC",31260002,CDM,312,RC,88325,HCPCS,facility,both,,,,646,646,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC HA DIGITIAL, STANDARD, BINAURAL, ITC",31260003,CDM,312,RC,88325,HCPCS,facility,both,,,,646,646,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC HA DIGITAL, STANDARD, MONAURAL, CIC",31260005,CDM,312,RC,88399,HCPCS,facility,both,,,,33,33,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
"HC HA DIGITAL, STANDARD, MONAURAL, RITE",31260006,CDM,312,RC,88399,HCPCS,facility,both,,,,33,33,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC TISSUE CULTURE; OTHER TISSUE,31900001,CDM,319,RC,88233,HCPCS,facility,both,,,,405,405,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC TISSUE CULTURE; OTHER TISSUE,31900001,CDM,319,RC,88233,HCPCS,facility,both,,,,263,263,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC CRYOPRESERVATION EA CELL LINE,31900002,CDM,319,RC,88235,HCPCS,facility,both,,,,649,649,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC MCG; DNA PROBE EA,31900004,CDM,310,RC,88262,HCPCS,facility,both,,,,450,450,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC MCG; DNA PROBE EA,31900004,CDM,310,RC,88262,HCPCS,facility,both,,,,279,279,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC MCG; SITU HYBRID 3-5 CELLS,31900005,CDM,310,RC,88264,HCPCS,facility,both,,,,316,316,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC MCG; SITU HYBRID 3-5 CELLS,31900005,CDM,310,RC,88264,HCPCS,facility,both,,,,488,488,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CHROM ANALY; ADDTL CELL COUNTS,31900007,CDM,310,RC,88275,HCPCS,facility,both,,,,277,277,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CHROM ANALY; ADDTL HI RESOLN,31900007,CDM,310,RC,88275,HCPCS,facility,both,,,,230,230,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC SURG PATH LEVEL-I GROSS ONLY,31900008,CDM,310,RC,88280,HCPCS,facility,both,,,,105,105,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC SURG PATH LEVEL-I GROSS ONLY,31900008,CDM,310,RC,88280,HCPCS,facility,both,,,,52,52,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
"HC ULTRASOUND BREAST UNILAT, LIMITED",31900009,CDM,319,RC,88289,HCPCS,facility,both,,,,196,196,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC BLOOD SPLIT UNIT,31900011,CDM,319,RC,88368,HCPCS,facility,both,,,,904,904,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC X-RAY EXAM OF EYE, DETECTION OF FOREIGN BODY",32000001,CDM,320,RC,70015,HCPCS,facility,both,,,,2541,2541,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC MANDIBLE, MIN 4 VIEWS",32000002,CDM,320,RC,70030,HCPCS,facility,both,,,,270,270,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  FACIAL BONES, MIN 3 VIEWS",32000004,CDM,320,RC,70110,HCPCS,facility,both,,,,549,549,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  NASAL BONES, MIN 3 VIEWS",32000006,CDM,320,RC,70150,HCPCS,facility,both,,,,549,549,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  ORBITS, MIN 4 VIEWS",32000007,CDM,320,RC,70160,HCPCS,facility,both,,,,347,347,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SINUSES, PARANASAL, LESS THAN 3 VIEWS",32000008,CDM,320,RC,70200,HCPCS,facility,both,,,,618,618,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SINUSES, PARANASAL, MIN 3 VIEWS",32000009,CDM,320,RC,70210,HCPCS,facility,both,,,,428,428,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SKULL, LESS THAN 4 VIEWS",32000010,CDM,320,RC,70220,HCPCS,facility,both,,,,602,602,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SKULL, MIN 4 VIEWS",32000011,CDM,320,RC,70250,HCPCS,facility,both,,,,692,692,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC MRI OF TEMPOROMANDIBULAR JOINT(S),32000012,CDM,320,RC,70260,HCPCS,facility,both,,,,800,800,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CT HEAD OR BRAIN, W/O CONTRAST",32000014,CDM,320,RC,70360,HCPCS,facility,both,,,,445,445,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SPINE, CERVICAL, MIN 4 VIEWS",32000015,CDM,320,RC,72020,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SPINE, CERVICAL, COMPLETE",32000016,CDM,320,RC,72040,HCPCS,facility,both,,,,551,551,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SPINE, THORAX, 2 VIEWS",32000017,CDM,320,RC,72050,HCPCS,facility,both,,,,662,662,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SPINE, THORAX, MIN 4 VIEWS",32000018,CDM,320,RC,72052,HCPCS,facility,both,,,,1092,1092,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SPINE, THORACOLUMBAR, 2 VIEWS",32000019,CDM,320,RC,72070,HCPCS,facility,both,,,,662,662,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SPINE, LUMBOSACRAL, 2 OR 3 VIEWS",32000021,CDM,320,RC,72074,HCPCS,facility,both,,,,694,694,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC  SPINE, LUMBOSACRAL, MIN 4 VIEWS",32000022,CDM,320,RC,72080,HCPCS,facility,both,,,,313,313,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CT CERVICAL SPINE, W/O CONTRAST",32000024,CDM,320,RC,72100,HCPCS,facility,both,,,,563,563,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CT CERVICAL SPINE, W CONTRAST",32000025,CDM,320,RC,72110,HCPCS,facility,both,,,,626,626,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CTA PELVIS W & W/O CONTRAST,32000027,CDM,320,RC,72170,HCPCS,facility,both,,,,631,631,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT PELVIS W/O CONTRAST,32000028,CDM,320,RC,72190,HCPCS,facility,both,,,,428,428,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC MYELOGRAPHY, CERVICAL S & I",32000029,CDM,320,RC,72202,HCPCS,facility,both,,,,549,549,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC MYELOGRAPHY, THORACIC S & I",32000030,CDM,320,RC,72220,HCPCS,facility,both,,,,362,362,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC MYELOGRAPHY, LUMBOSACRAL S & I",32000031,CDM,320,RC,72240,HCPCS,facility,both,,,,2023,2023,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC MYELOGRAPHY, 2 OR MORE REGIONS S & I",32000032,CDM,320,RC,72255,HCPCS,facility,both,,,,1519,1519,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM CLAVICLE, COMPLETE",32000033,CDM,320,RC,72265,HCPCS,facility,both,,,,2023,2023,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM SCAPULA, COMPLETE",32000034,CDM,320,RC,72270,HCPCS,facility,both,,,,1759,1759,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM SHOULDER, MIN 2 VIEWS",32000038,CDM,320,RC,73000,HCPCS,facility,both,,,,410,410,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM SHOULDER, ARTHROGRAPHY",32000039,CDM,320,RC,73010,HCPCS,facility,both,,,,347,347,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM ACROMIOCLAVICULAR JOINTS, BILAT",32000041,CDM,320,RC,73030,HCPCS,facility,both,,,,631,631,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM ELBOW, 2 VIEWS",32000042,CDM,320,RC,73050,HCPCS,facility,both,,,,457,457,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM ELBOW, MIN 3 VIEWS",32000043,CDM,320,RC,73060,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM ELBOW, ARTHROGRAPHY",32000044,CDM,320,RC,73070,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM FOREARM, 2 VIEWS",32000045,CDM,320,RC,73080,HCPCS,facility,both,,,,456,456,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM WRIST, 2 VIEWS",32000046,CDM,320,RC,73090,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM WRIST, MIN 3 VIEWS",32000047,CDM,320,RC,73092,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM WRIST ARTHROGRAPHY,32000048,CDM,320,RC,73100,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM HAND, 2 VIEWS",32000049,CDM,320,RC,73110,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM FINGER(S), MIN 2 VIEWS",32000050,CDM,320,RC,73120,HCPCS,facility,both,,,,428,428,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT UPPER EXT W/O CONTRAST,32000051,CDM,320,RC,73130,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT UPPER EXT W CONTRAST,32000052,CDM,320,RC,73140,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM KNEE 4 OR MORE VIEWS,32000059,CDM,320,RC,73560,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM BOTH KNEES STANDING AP MIN 3 VIEWS,32000060,CDM,320,RC,73562,HCPCS,facility,both,,,,662,662,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM KNEE ARTHROGRAPHY,32000061,CDM,320,RC,73564,HCPCS,facility,both,,,,729,729,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM TIBIA AND FIBULA 2 VIEWS,32000062,CDM,320,RC,73565,HCPCS,facility,both,,,,345,345,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM ANKLE 2 VIEWS,32000063,CDM,320,RC,73590,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM ANKLE MIN 3 VIEWS,32000064,CDM,320,RC,73592,HCPCS,facility,both,,,,623,623,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM ANKLE ARTHROGRAPHY,32000065,CDM,320,RC,73600,HCPCS,facility,both,,,,305,305,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM FOOT MIN 3 VIEWS,32000067,CDM,320,RC,73610,HCPCS,facility,both,,,,662,662,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM TOE(S) MIN 2 VIEWS,32000068,CDM,320,RC,73630,HCPCS,facility,both,,,,414,414,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT LOWER EXT W/O CONTRAST,32000069,CDM,320,RC,73650,HCPCS,facility,both,,,,345,345,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT LOWER EXT W CONTRAST,32000070,CDM,320,RC,73660,HCPCS,facility,both,,,,431,431,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
