"hospital_name","last_updated_on","version","location_name","hospital_address","type_2_npi","license_number|CA","To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.","attester_name"
"California Pacific Medical Center- Van Ness Campus","2026-04-01","3.0.0","California Pacific Medical Center- Van Ness Campus","1101 Van Ness Avenue, San Francisco, CA 94109","1104984392|1689732885|1740348929|1831257013|1871731810|1902964109","220000197","true","Bruce Preston"
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","billing_class","setting","drug_unit_of_measurement","drug_type_of_measurement","modifiers","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|methodology","standard_charge|min","standard_charge|max","additional_generic_notes"
"Gastrointestinal Obstruction With Mcc","388","MS-DRG",,,,,,,"facility","inpatient",,,,,,"United","HMO / PPO",,,"[Stop Loss: Charge Threshold: 802232 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10088] [Surgical-Per Diem: 10088] [ICU-Per Diem: 25093] [Step Down-Per Diem: 15096] [C-Section-Case Rate: 29174] [Normal Vaginal Delivery-Case Rate: 18918] [Normal Newborn-Per Diem: 2844] [Nursery  Level 1- Boarder-Per Diem: 2844] [Nursery  Level 2-Per Diem: 10693] [Nursery  Level 3-Per Diem: 14972] [Nursery  Level 4-NICU-Per Diem: 34795] [Alcohol/ Chemical Dependency-Per Diem: 7829] [Psych-Per Diem: 4371] [Rehab-Per Diem: 9938] [ECT (%BC): 3663] [Bariatric Surgery-Case Rate: 24769] [Trauma  (%BC): 82]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Mcc","388","MS-DRG",,,,,,,"facility","inpatient",,,,,,"United","Medicare Adv_ HMO / PPO",,,"[MSDRG Base Rate: 100% of Medicare]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","Individual","21718",,,,,,,"fee schedule","21718","29183",
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","SFHSS","24037",,,,,,,"fee schedule","21718","29183",
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","HMO/PPO","29183",,,,,,,"fee schedule","21718","29183",
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","HMO / PPO",,,"[Stop Loss: Charge Threshold: 627656 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10687] [Surgical-Per Diem: 10687] [ICU-Per Diem: 26543] [CCU-Per Diem: 26543] [Step Down-Per Diem: 15095] [C-Section-Case Rate: 31995] [Normal Vaginal Delivery-Case Rate: 20635] [Normal Newborn-Case Rate: 20635] [Nursery  Level 1- Boarder-Per Diem: 3151] [Nursery  Level 2-Per Diem: 10717] [Nursery  Level 3-Per Diem: 15488] [Nursery  Level 4-NICU-Per Diem: 35945] [Alcohol/ Chemical Dependency-Per Diem: 6389] [Psych-Per Diem: 3762] [Rehab-Per Diem: 9301] [SNF-Per Diem: 3192] [ECT (%BC): 3192] [Bariatric Surgery-Case Rate: 61721] [Trauma  (%BC): 76]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","HMO/PPO",,,"[Stop Loss: Charge Threshold: 627656 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10687] [Surgical-Per Diem: 10687] [ICU-Per Diem: 26543] [CCU-Per Diem: 26543] [Step Down-Per Diem: 15095] [C-Section-Case Rate: 31995] [Normal Vaginal Delivery-Case Rate: 20635] [Normal Newborn-Case Rate: 20635] [Nursery  Level 1- Boarder-Per Diem: 3151] [Nursery  Level 2-Per Diem: 10717] [Nursery  Level 3-Per Diem: 15488] [Nursery  Level 4-NICU-Per Diem: 35945] [Alcohol/ Chemical Dependency-Per Diem: 6389] [Psych-Per Diem: 3762] [Rehab-Per Diem: 9301] [SNF-Per Diem: 3192] [ECT (%BC): 3192] [Bariatric Surgery-Case Rate: 61721] [Trauma  (%BC): 76]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","HMO/PPO",,,"[Stop Loss: Charge Threshold: 738409] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10249] [Surgical-Per Diem: 10249] [ICU-Per Diem: 25559] [CCU-Per Diem: 25559] [Step Down-Per Diem: 15311] [Normal Newborn-Per Diem: 2755] [Nursery  Level 2-Per Diem: 10669] [Nursery  Level 3-Per Diem: 15476] [Nursery  Level 4-NICU-Per Diem: 35879] [Alcohol/ Chemical Dependency-Per Diem: 6970] [Rehab-Per Diem: 3030] [SNF-Per Diem: 3478] [ECT (%BC): 3478]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Individual",,,"[Stop Loss: Charge Threshold: 738409 | Threshold Total (% BC): 44] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 7766] [Surgical-Per Diem: 7766] [ICU-Per Diem: 19370] [CCU-Per Diem: 19370] [Step Down-Per Diem: 11606] [Normal Newborn-Per Diem: 2090] [Nursery  Level 2-Per Diem: 8087] [Nursery  Level 3-Per Diem: 11729] [Nursery  Level 4-NICU-Per Diem: 27192] [Alcohol/ Chemical Dependency-Per Diem: 5283] [Rehab-Per Diem: 2296] [SNF-Per Diem: 2635] [ECT (%BC): 2635]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Medi-Cal",,,"[Lesser Than Charges paid at %: 100.00] [Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://www.hca.wa.gov/billers-providers-partners/prior-authorization-claims-and-billing/hospital-reimbursement] [Alcohol/ Chemical Dependency-Per Diem: 3098] [SNF-Per Diem: 1849] [ECT (%BC): 1849] [Trauma  (%BC): 60]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Medicare Adv_ HMO / PPO",,,"[MSDRG Base Rate: 100% of Medicare]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","Medicare Adv_ HMO / PPO",,,"[MSDRG Base Rate: 100% of Medicare]","14884.17","14884.17","14884.17","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","HMO/PPO",,,"[Stop Loss: Charge Threshold: 679530 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10628] [Surgical-Per Diem: 10628] [ICU-Per Diem: 26259] [CCU-Per Diem: 26259] [Step Down-Per Diem: 15765] [C-Section-Case Rate: 33176] [Normal Vaginal Delivery-Case Rate: 21469] [Normal Newborn-Per Diem: 3209] [Nursery  Level 1- Boarder-Per Diem: 3209] [Nursery  Level 2-Per Diem: 10988] [Nursery  Level 3-Per Diem: 15859] [Nursery  Level 4-NICU-Per Diem: 36864] [Alcohol/ Chemical Dependency-Per Diem: 7548] [Psych-Per Diem: 4294] [Rehab-Per Diem: 4030] [SNF-Per Diem: 3649] [Bariatric Surgery-Case Rate: 27145] [Trauma  (%BC): 76.5]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","Individual",,,"[Stop Loss: Charge Threshold: 679530 | Threshold Total (% BC): 44] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 8190] [Surgical-Per Diem: 8190] [ICU-Per Diem: 20235] [CCU-Per Diem: 20235] [Step Down-Per Diem: 12148] [C-Section-Case Rate: 25565] [Normal Vaginal Delivery-Case Rate: 16544] [Normal Newborn-Per Diem: 2473] [Nursery  Level 1- Boarder-Per Diem: 2473] [Nursery  Level 2-Per Diem: 8467] [Nursery  Level 3-Per Diem: 12220] [Nursery  Level 4-NICU-Per Diem: 28406] [Alcohol/ Chemical Dependency-Per Diem: 5817] [Psych-Per Diem: 3307] [Rehab-Per Diem: 3107] [SNF-Per Diem: 2813] [Bariatric Surgery-Case Rate: 20918] [Trauma  (%BC): 75.7]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","SFHSS",,,"[Stop Loss: Charge Threshold: 666344 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 8754] [Surgical-Per Diem: 8754] [ICU-Per Diem: 21645] [CCU-Per Diem: 21645] [Step Down-Per Diem: 12995] [C-Section-Case Rate: 27346] [Normal Vaginal Delivery-Case Rate: 17695] [Normal Newborn-Per Diem: 2646] [Nursery  Level 1- Boarder-Per Diem: 2646] [Nursery  Level 2-Per Diem: 9593] [Nursery  Level 3-Per Diem: 13847] [Nursery  Level 4-NICU-Per Diem: 32185] [Alcohol/ Chemical Dependency-Per Diem: 6206] [Psych-Per Diem: 3536] [Rehab-Per Diem: 3325] [SNF-Per Diem: 3004] [Bariatric Surgery-Case Rate: 22377] [Trauma  (%BC): 76.4]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Central Health Plan","Medicare Adv_ HMO / PPO",,,"[MSDRG Base Rate: 100% of Medicare]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Chinese Community Health Plan","HMO",,,"[Stop Loss: Charge Threshold: 674576 | Threshold Total (% BC): 53] [MSDRG Base Rate: See Fee Schedule] [Medical-Per Diem: 7573] [Surgical-Per Diem: 7573] [ICU-Per Diem: 18726] [CCU-Per Diem: 18726] [Step Down-Per Diem: 11236] [C-Section-Case Rate: 17183] [Normal Vaginal Delivery-Case Rate: 11114] [Nursery  Level 1- Boarder-Per Diem: 2287] [Nursery  Level 2-Per Diem: 8579] [Nursery  Level 3-Per Diem: 12390] [Nursery  Level 4-NICU-Per Diem: 28789] [Alcohol/ Chemical Dependency-Per Diem: 5195] [Psych-Per Diem: 2875] [Rehab-Per Diem: 7443] [SNF-Per Diem: 2449] [Bariatric Surgery-Case Rate: 45629] [Cardiac Cath-Case Rate: Fee Schedule] [Cardiac Surgery-Case Rate: Fee Schedule] [Transplants (%BC): 69]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Chinese Community Health Plan","Individual",,,"[Stop Loss: Charge Threshold: 674576 | Threshold Total (% BC): 53] [MSDRG Base Rate: See Fee Schedule] [Medical-Per Diem: 7573] [Surgical-Per Diem: 7573] [ICU-Per Diem: 18726] [CCU-Per Diem: 18726] [Step Down-Per Diem: 11236] [C-Section-Case Rate: 17183] [Normal Vaginal Delivery-Case Rate: 11114] [Nursery  Level 1- Boarder-Per Diem: 2287] [Nursery  Level 2-Per Diem: 8579] [Nursery  Level 3-Per Diem: 12390] [Nursery  Level 4-NICU-Per Diem: 28789] [Alcohol/ Chemical Dependency-Per Diem: 5195] [Psych-Per Diem: 2875] [Rehab-Per Diem: 7443] [SNF-Per Diem: 2449] [Bariatric Surgery-Case Rate: 45629] [Cardiac Cath-Case Rate: Fee Schedule] [Cardiac Surgery-Case Rate: Fee Schedule] [Transplants (%BC): 69]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","HMO/PPO",,,"[Stop Loss: Charge Threshold: 546960 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 11258] [Surgical-Per Diem: 11258] [ICU-Per Diem: 27953] [CCU-Per Diem: 27953] [Step Down-Per Diem: 16817] [C-Section-Case Rate: 34892] [Normal Vaginal Delivery-Case Rate: 22790] [Nursery  Level 1- Boarder-Per Diem: 3652] [Nursery  Level 2-Per Diem: 11599] [Nursery  Level 3-Per Diem: 16766] [Nursery  Level 4-NICU-Per Diem: 36935] [Rehab-Per Diem: 9776] [SNF-Per Diem: 3511] [ECT (%BC): 3511] [Bariatric Surgery-Case Rate: 55942] [Trauma  (%BC): 85]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Health Net","HMO/PPO",,,"[Stop Loss: Charge Threshold: 731675 | Threshold Total (% BC): 55] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 9422] [Surgical-Per Diem: 9422] [ICU-Per Diem: 23431] [CCU-Per Diem: 23431] [Step Down-Per Diem: 14133] [C-Section-Case Rate: 29804] [Normal Vaginal Delivery-Case Rate: 19386] [Nursery  Level 1- Boarder-Per Diem: 3058] [Nursery  Level 2-Per Diem: 10916] [Nursery  Level 3-Per Diem: 15757] [Nursery  Level 4-NICU-Per Diem: 36574] [Alcohol/ Chemical Dependency-Per Diem: 9422] [Rehab-Per Diem: 9460] [SNF-Per Diem: 3624] [ECT (%BC): 3624] [Cardiac Cath-Case Rate: Fee Schedule] [Cardiac Surgery-Case Rate: Fee Schedule] [Trauma  (%BC): 77]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Health Net","Medi-Cal",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://www.hca.wa.gov/billers-providers-partners/prior-authorization-claims-and-billing/hospital-reimbursement]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Health Plan of San Mateo","Medi-Cal",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://www.hca.wa.gov/billers-providers-partners/prior-authorization-claims-and-billing/hospital-reimbursement]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Health Plan of San Mateo","Medicare Adv_ HMO / PPO",,,"[MSDRG Base Rate: 100% of Medicare]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"San Francisco Health Plan","Medi-Cal",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://www.hca.wa.gov/billers-providers-partners/prior-authorization-claims-and-billing/hospital-reimbursement]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"United","HMO / PPO",,,"[Stop Loss: Charge Threshold: 802232 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10088] [Surgical-Per Diem: 10088] [ICU-Per Diem: 25093] [Step Down-Per Diem: 15096] [C-Section-Case Rate: 29174] [Normal Vaginal Delivery-Case Rate: 18918] [Normal Newborn-Per Diem: 2844] [Nursery  Level 1- Boarder-Per Diem: 2844] [Nursery  Level 2-Per Diem: 10693] [Nursery  Level 3-Per Diem: 14972] [Nursery  Level 4-NICU-Per Diem: 34795] [Alcohol/ Chemical Dependency-Per Diem: 7829] [Psych-Per Diem: 4371] [Rehab-Per Diem: 9938] [ECT (%BC): 3663] [Bariatric Surgery-Case Rate: 24769] [Trauma  (%BC): 82]","19262","19262","19262","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Gastrointestinal Obstruction With Cc","389","MS-DRG",,,,,,,"facility","inpatient",,,,,,"United","Medicare Adv_ HMO / PPO",,,"[MSDRG Base Rate: 100% of Medicare]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","HMO/PPO","50725",,,,,,,"fee schedule","37665","53667",
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Individual","37665",,,,,,,"fee schedule","37665","53667",
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","HMO/PPO","49698",,,,,,,"fee schedule","37665","53667",
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","HMO/PPO","53667",,,,,,,"fee schedule","37665","53667",
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","Individual","39088",,,,,,,"fee schedule","37665","53667",
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Chinese Community Health Plan","Individual","44014",,,,,,,"fee schedule","37665","53667",
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","SFHSS","44284",,,,,,,"fee schedule","37665","53667",
"Description Not Available","39","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Chinese Community Health Plan","HMO","44014",,,,,,,"fee schedule","37665","53667",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","HMO / PPO","21597",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Individual","15830",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","Individual","17367",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","HMO/PPO","20889",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","HMO/PPO","22555",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","SFHSS","18676",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Chinese Community Health Plan","Individual","15408",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Chinese Community Health Plan","HMO","15408",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","HMO/PPO","21059",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Health Net","HMO/PPO","18964",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"United","HMO / PPO","19341",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","HMO/PPO","21597",,,,,,,"fee schedule","15408","22555",
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","HMO/PPO",,,"[Stop Loss: Charge Threshold: 627656 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10687] [Surgical-Per Diem: 10687] [ICU-Per Diem: 26543] [CCU-Per Diem: 26543] [Step Down-Per Diem: 15095] [C-Section-Case Rate: 31995] [Normal Vaginal Delivery-Case Rate: 20635] [Normal Newborn-Case Rate: 20635] [Nursery  Level 1- Boarder-Per Diem: 3151] [Nursery  Level 2-Per Diem: 10717] [Nursery  Level 3-Per Diem: 15488] [Nursery  Level 4-NICU-Per Diem: 35945] [Alcohol/ Chemical Dependency-Per Diem: 6389] [Psych-Per Diem: 3762] [Rehab-Per Diem: 9301] [SNF-Per Diem: 3192] [ECT (%BC): 3192] [Bariatric Surgery-Case Rate: 61721] [Trauma  (%BC): 76]","15738.75","15738.75","15738.75","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","HMO / PPO",,,"[Stop Loss: Charge Threshold: 627656 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10687] [Surgical-Per Diem: 10687] [ICU-Per Diem: 26543] [CCU-Per Diem: 26543] [Step Down-Per Diem: 15095] [C-Section-Case Rate: 31995] [Normal Vaginal Delivery-Case Rate: 20635] [Normal Newborn-Case Rate: 20635] [Nursery  Level 1- Boarder-Per Diem: 3151] [Nursery  Level 2-Per Diem: 10717] [Nursery  Level 3-Per Diem: 15488] [Nursery  Level 4-NICU-Per Diem: 35945] [Alcohol/ Chemical Dependency-Per Diem: 6389] [Psych-Per Diem: 3762] [Rehab-Per Diem: 9301] [SNF-Per Diem: 3192] [ECT (%BC): 3192] [Bariatric Surgery-Case Rate: 61721] [Trauma  (%BC): 76]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","HMO/PPO",,,"[Stop Loss: Charge Threshold: 738409] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10249] [Surgical-Per Diem: 10249] [ICU-Per Diem: 25559] [CCU-Per Diem: 25559] [Step Down-Per Diem: 15311] [Normal Newborn-Per Diem: 2755] [Nursery  Level 2-Per Diem: 10669] [Nursery  Level 3-Per Diem: 15476] [Nursery  Level 4-NICU-Per Diem: 35879] [Alcohol/ Chemical Dependency-Per Diem: 6970] [Rehab-Per Diem: 3030] [SNF-Per Diem: 3478] [ECT (%BC): 3478]","18523","18523","18523","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Individual",,,"[Stop Loss: Charge Threshold: 738409 | Threshold Total (% BC): 44] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 7766] [Surgical-Per Diem: 7766] [ICU-Per Diem: 19370] [CCU-Per Diem: 19370] [Step Down-Per Diem: 11606] [Normal Newborn-Per Diem: 2090] [Nursery  Level 2-Per Diem: 8087] [Nursery  Level 3-Per Diem: 11729] [Nursery  Level 4-NICU-Per Diem: 27192] [Alcohol/ Chemical Dependency-Per Diem: 5283] [Rehab-Per Diem: 2296] [SNF-Per Diem: 2635] [ECT (%BC): 2635]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Medi-Cal",,,"[Lesser Than Charges paid at %: 100.00] [Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://www.hca.wa.gov/billers-providers-partners/prior-authorization-claims-and-billing/hospital-reimbursement] [Alcohol/ Chemical Dependency-Per Diem: 3098] [SNF-Per Diem: 1849] [ECT (%BC): 1849] [Trauma  (%BC): 60]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Anthem","Medicare Adv_ HMO / PPO",,,"[MSDRG Base Rate: 100% of Medicare]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Gastrointestinal Obstruction Without Cc/Mcc","390","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Blue Shield","HMO/PPO",,,"[Stop Loss: Charge Threshold: 679530 | Threshold Total (% BC): 55] [Lesser Than Charges paid at %: 100.00] [MSDRG Base Rate: Fee Schedule] [Medical-Per Diem: 10628] [Surgical-Per Diem: 10628] [ICU-Per Diem: 26259] [CCU-Per Diem: 26259] [Step Down-Per Diem: 15765] [C-Section-Case Rate: 33176] [Normal Vaginal Delivery-Case Rate: 21469] [Normal Newborn-Per Diem: 3209] [Nursery  Level 1- Boarder-Per Diem: 3209] [Nursery  Level 2-Per Diem: 10988] [Nursery  Level 3-Per Diem: 15859] [Nursery  Level 4-NICU-Per Diem: 36864] [Alcohol/ Chemical Dependency-Per Diem: 7548] [Psych-Per Diem: 4294] [Rehab-Per Diem: 4030] [SNF-Per Diem: 3649] [Bariatric Surgery-Case Rate: 27145] [Trauma  (%BC): 76.5]",,,,"0","other",,,"No services performed during 15-month lookback period."
