hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Martha's Vineyard Hospital,2026-03-27,3.0.0,Martha's Vineyard Hospital,1 Hospital Rd Oak Bluffs MA 02557-1477,2042,1194866210,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","both","","","421.00","315.75","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","306.91","72.9","","304.78","304.78","304.78","1 through 10","248.39","392.37","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","both","","","421.00","315.75","UNITED HEALTHCARE [1016]","HB MVH UNITED HMO / PPO / INDEMNITY","389.68","92.56","","408.00","153.65","408.00","1 through 10","248.39","392.37","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","inpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","286.24","67.99","","199.07","169.21","298.62","1 through 10","189.03","286.24","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","inpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","286.24","67.99","","199.07","169.21","298.62","29","189.03","286.24","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","inpatient","","","421.00","315.75","WELLSENSE [1003]","HB MVH WELLSENSE MCO","189.03","44.9","","127.59","127.59","127.59","1 through 10","189.03","286.24","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","outpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","296.72","70.48","","199.07","199.07","199.07","1 through 10","179.88","296.72","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","outpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS INDEMNITY","296.72","70.48","","199.07","199.07","199.07","1 through 10","179.88","296.72","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","outpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","296.72","70.48","","199.07","170.05","298.62","20","179.88","296.72","percent of total billed charges",""
"1st Hospital IP/Obs Care Moderate Mdm 55 Minutes","PX-98300812","CDM","99222","CPT","0983","RC","","","","both","","","421.00","315.75","CIGNA [1006]","HB MVH CIGNA HMO / PPO","392.37","93.2","","362.30","362.30","362.30","1 through 10","248.39","392.37","percent of total billed charges",""
"1st Hospital IP/Obs Care Moderate Mdm 55 Minutes","PX-98300812","CDM","99222","CPT","0983","RC","","","","both","","","421.00","315.75","HARVARD PILGRIM [120001]","HB MVH HPHC HMO / POS / PPO","331.33","78.7","","329.09","329.09","329.09","1 through 10","248.39","392.37","percent of total billed charges",""
"1st Hospital IP/Obs Care Moderate Mdm 55 Minutes","PX-98300812","CDM","99222","CPT","0983","RC","","","","both","","","421.00","315.75","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","306.91","72.9","","304.78","304.78","304.78","1 through 10","248.39","392.37","percent of total billed charges",""
"1st Hospital IP/Obs Care Moderate Mdm 55 Minutes","PX-98300812","CDM","99222","CPT","0983","RC","","","","both","","","421.00","315.75","UNITED HEALTHCARE [1016]","HB MVH UNITED HMO / PPO / INDEMNITY","389.68","92.56","","378.78","378.78","378.78","1 through 10","248.39","392.37","percent of total billed charges",""
"1st Hospital IP/Obs Care Moderate Mdm 55 Minutes","PX-98300812","CDM","99222","CPT","0983","RC","","","","inpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","286.24","67.99","","150.14","148.12","150.14","1 through 10","189.03","286.24","percent of total billed charges",""
"1st Hospital IP/Obs Care Moderate Mdm 55 Minutes","PX-98300812","CDM","99222","CPT","0983","RC","","","","inpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","286.24","67.99","","150.14","148.12","298.62","1 through 10","189.03","286.24","percent of total billed charges",""
"1st Hospital IP/Obs Care Moderate Mdm 55 Minutes","PX-98300812","CDM","99222","CPT","0983","RC","","","","outpatient","","","421.00","315.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","296.72","70.48","","150.14","127.62","298.62","1 through 10","135.04","383.11","percent of total billed charges",""
