hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Nantucket Cottage Hospital,2026-03-27,3.0.0,Nantucket Cottage Hospital,57 Prospect St Nantucket MA 02554-2799,2044,1447214622,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","440.00","330.00","UNITED HEALTHCARE [1016]","HB NCH UNITED HMO / PPO / INDEMNITY","415.84","94.51","","292.60","292.60","292.60","1 through 10","85.41","418.88","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","440.00","330.00","BLUE CROSS BLUE SHIELD [110001]","HB NCH BLUE CROSS HMO","403.08","91.61","","226.00","105.47","607.60","43","403.08","414.83","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","440.00","330.00","BLUE CROSS BLUE SHIELD [110001]","HB NCH BLUE CROSS PPO","414.83","94.28","","386.00","308.80","772.00","22","403.08","414.83","percent of total billed charges",""
"97014 E-Stim, Unattended","PX-43000079","CDM","97014","CPT","0430","RC","","","","both","","","130.00","97.50","MGB HEALTH PLAN [150001]","HB NCH MGBHP COMMERCIAL HMO","100.88","77.6","","102.56","102.56","102.56","1 through 10","85.8","123.76","percent of total billed charges",""
"Abdom Paracentesis Dx/Ther W/Imaging Guidance","PX-36000168","CDM","49083","CPT","0983","RC","","","","both","","","564.00","423.00","MEDICARE [2001]","HB NCH MEDICARE","1192.34","","APC Price ($1,192.34). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.5). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","1192.46","1192.46","1192.46","1 through 10","372.24","1192.34","other","OPPS APC"
"Abdom Paracentesis Dx/Ther W/Imaging Guidance","PX-36000168","CDM","49083","CPT","0983","RC","","","","both","","","564.00","423.00","MEDICARE ALTERNATE [2002]","HB NCH MEDICARE","1192.34","","APC Price ($1,192.34). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.5). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","103.55","103.55","103.55","1 through 10","372.24","1192.34","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2778.00","2083.50","MEDICARE [2001]","HB NCH MEDICARE","1192.34","","APC Price ($1,192.34). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.5). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","1192.46","1192.46","1192.46","1 through 10","1192.34","2644.66","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2778.00","2083.50","MEDICARE ALTERNATE [2002]","HB NCH MEDICARE","1192.34","","APC Price ($1,192.34). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.5). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","103.55","103.55","103.55","1 through 10","1192.34","2644.66","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2778.00","2083.50","BLUE CROSS BLUE SHIELD [110001]","HB NCH BLUE CROSS PPO","870.88","","Case rate ($870.88). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 307%, 153.5 procedures at 0%.","2566.48","2566.48","2566.48","1 through 10","870.88","870.88","other","ASC "
"Acth Stimulation Panel Adrenal","PX-30000040","CDM","80400","CPT","0300","RC","","","","outpatient","","","377.00","282.75","BLUE CROSS BLUE SHIELD [110001]","HB NCH BLUE CROSS PPO","355.44","94.28","","160.40","160.40","160.40","1 through 10","345.37","355.44","percent of total billed charges",""
"Actin Smooth Muscle Antibody Each","PX-30003761","CDM","86015","CPT","0302","RC","","","","both","","","103.00","77.25","AETNA [1001]","HB NCH AETNA","90.02","87.4","","84.15","84.15","84.15","1 through 10","12.05","98.06","percent of total billed charges",""
