hospital_name,last_updated_on,version,location_name,hospital_address,license_number|NH,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Wentworth Douglass Hospital,2026-03-27,3.0.0,Wentworth Douglass Hospital,789 Central Ave Dover NH 03820,00010,1033118104,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM PPO","5059.95","","Case rate ($5,059.95). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($0) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","2258.48","2258.48","2258.48","1 through 10","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","CIGNA [1006]","HB WDH CIGNA HMO / PPO / INDEM","1242.13","56.9","","1198.88","1198.88","1198.88","11","959.93","6260.06","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","HUMANA [1012]","HB WDH HUMANA MEDICARE REPLACEMENT","1008.91","","APC Price ($979.53). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 103%.","995.05","891.54","1009.03","1 through 10","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","MARTIN'S POINT [160007]","HB WDH MEDICARE","979.53","","APC Price ($979.53). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","960.95","960.95","979.64","1 through 10","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","MEDICARE [2001]","HB WDH MEDICARE","979.53","","APC Price ($979.53). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","979.64","979.64","979.64","53","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","UNITED HEALTHCARE [1016]","HB WDH MEDICARE","979.53","","APC Price ($979.53). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","967.95","960.05","979.64","1 through 10","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","WELLSENSE NH [1050]","HB WDH MEDICARE","979.53","","APC Price ($979.53). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","1015.45","1008.05","5137.77","20","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2183.00","1309.80","GENERIC COMMERCIAL [1009]","HB WDH AMERIHEALTH CARITAS","314.79","14.42","","303.83","260.43","303.83","25","253.88","1689.64","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2183.00","1309.80","GENERIC COMMERCIAL [1009]","HB WDH NH HEALTHY FAMILIES + WELLSENSE","253.88","11.63","","290.13","257.90","290.13","31","253.88","1689.64","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2183.00","1309.80","MGB HEALTH PLAN [150001]","HB WDH MGBHP PPO","1373.11","62.9","","4658.88","1327.41","4658.88","1 through 10","253.88","1689.64","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2183.00","1309.80","WELLSENSE NH [1050]","HB WDH NH HEALTHY FAMILIES + WELLSENSE","253.88","11.63","","248.87","248.87","248.87","17","253.88","1689.64","percent of total billed charges",""
"Abdominal Paracentesis W/O Imaging","PX-75000277","CDM","49082","CPT","0361","RC","","","","outpatient","","","5456.00","3273.60","GENERIC COMMERCIAL [1009]","HB WDH AMERIHEALTH CARITAS","786.76","14.42","","759.21","759.21","759.21","1 through 10","634.53","4222.94","percent of total billed charges",""
"Abdominal Paracentesis W/O Imaging","PX-75000277","CDM","49082","CPT","0361","RC","","","","outpatient","","","5456.00","3273.60","GENERIC COMMERCIAL [1009]","HB WDH NH HEALTHY FAMILIES + WELLSENSE","634.53","11.63","","655.51","655.51","655.51","1 through 10","634.53","4222.94","percent of total billed charges",""
"Ablat Endoven Extrem Laser 1st","PX-76001070","CDM","36478","CPT","0761","RC","","","","both","","","12148.00","7288.80","COVENTRY FIRST HEALTH [1021]","HB WDH AETNA COMMERCIAL","8479.30","69.8","","8181.96","8181.96","8181.96","1 through 10","3222.61","21015.78","percent of total billed charges",""
"Ablat Endoven Extrem Laser 1st","PX-76001070","CDM","36478","CPT","0761","RC","","","","both","","","12148.00","7288.80","UNITED HEALTHCARE [1016]","HB WDH MEDICARE","3288.38","","APC Price ($3,288.38). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","3230.89","3230.89","3230.89","1 through 10","3222.61","21015.78","other","OPPS APC"
"Ablat Endoven Extrem Laser 1st","PX-76001070","CDM","36478","CPT","0761","RC","","","","outpatient","","","12148.00","7288.80","HARVARD PILGRIM [120001]","HB WDH HPHC HMO POS PPO","","","Payment is accumulated by procedure count. Procedure 1, 72.72% of billed. Procedures 2 - 9999, 36.36% of billed.","10409.38","10409.38","10409.38","1 through 10","1412.81","9402.55","percent of total billed charges"," standard_charge|negotiated_dollar calculated as 0;"
"Ablation Atrioventricular Function","PX-48000168","CDM","93650","CPT","0481","RC","","","","both","","","22713.00","13627.80","AETNA [1001]","HB WDH AETNA MEDICARE REPLACEMENT","8086.30","","APC Price ($7,927.74). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 102%.","7928.65","7928.65","7928.65","1 through 10","7769.19","50665.65","other","OPPS APC"
"Ablation Atrioventricular Function","PX-48000168","CDM","93650","CPT","0481","RC","","","","both","","","22713.00","13627.80","MARTIN'S POINT [160007]","HB WDH MEDICARE","7927.74","","APC Price ($7,927.74). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","7136.05","7136.05","7136.05","1 through 10","7769.19","50665.65","other","OPPS APC"
"Ablation Atrioventricular Function","PX-48000168","CDM","93650","CPT","0481","RC","","","","both","","","22713.00","13627.80","UNITED HEALTHCARE [1016]","HB WDH MEDICARE","7927.74","","APC Price ($7,927.74). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","7928.65","7928.65","7928.65","1 through 10","7769.19","50665.65","other","OPPS APC"
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","both","","","5375.00","3225.00","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM HMO","9141.46","","Case rate ($9,141.46). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($0) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","8918.60","8918.60","8918.60","1 through 10","3058.38","21229.64","other","OPPS APC"
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","both","","","5375.00","3225.00","CIGNA [1006]","HB WDH CIGNA HMO / PPO / INDEM","3058.38","56.9","","14185.74","14185.74","14185.74","1 through 10","3058.38","21229.64","percent of total billed charges",""
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","outpatient","","","5375.00","3225.00","UNITED HEALTHCARE [1016]","HB WDH UNITED HMO / PPO / INDEM","4160.25","77.4","","4274.51","4274.51","4274.51","1 through 10","625.11","4160.25","percent of total billed charges",""
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","outpatient","","","5375.00","3225.00","WELLSENSE NH [1050]","HB WDH NH HEALTHY FAMILIES + WELLSENSE","625.11","11.63","","1713.39","892.48","1713.39","1 through 10","625.11","4160.25","percent of total billed charges",""
"Abortion Induced D&E","PX-72000031","CDM","59841","CPT","0361","RC","","","","both","","","9349.00","5609.40","AETNA [1001]","HB WDH AETNA COMMERCIAL","6525.60","69.8","","16989.03","16989.03","16989.03","1 through 10","3255.41","21229.64","percent of total billed charges",""
"Abortion Induced D&E","PX-72000031","CDM","59841","CPT","0361","RC","","","","both","","","9349.00","5609.40","CIGNA [1006]","HB WDH CIGNA HMO / PPO / INDEM","5319.58","56.9","","10088.37","10088.37","10088.37","1 through 10","3255.41","21229.64","percent of total billed charges",""
"Abortion Without D&C","779","MS-DRG","","","","","","","","inpatient","","","7214.54","4328.72","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM MEDICARE REPLACEMENT + PATHWAYS","6703.98","","Case rate ($6,840.80). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.025, exceeds $6,348.24, add-ons for qualifying new technology services are included. If operating cost exceeds $10,266.42 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.305, exceeds $48,272.40, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) / 1.5. The base transfer operating payment is the transfer adjustment factor * $5,928.55 + an uncompensated DSH payment of $444.87. The transfer operating threshold is the transfer adjustment factor * $5,903.37 + an uncompensated DSH payment of $444.87. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $467.38. The transfer capital threshold is the transfer adjustment factor * $467.38. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount. Final payment is multiplied by 98%.","5918.98","5918.98","5918.98","1 through 10","3975","31969.48","other","Inpatient DRG"
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","both","","","6062.50","3637.50","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM FEDERAL","","","Case rate ($0).","3537.05","3537.05","3537.05","1 through 10","705.07","5153.13","other","OPPS APC standard_charge|negotiated_dollar calculated as 0;"
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","both","","","6062.50","3637.50","CIGNA [1006]","HB WDH CIGNA HMO / PPO / INDEM","3449.56","56.9","","2911.53","1863.86","5209.05","65","705.07","5153.13","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","both","","","6062.50","3637.50","GENERIC COMMERCIAL [1009]","HB WDH NH HEALTHY FAMILIES + WELLSENSE","705.07","11.63","","400.94","400.94","400.94","1 through 10","705.07","5153.13","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","both","","","6062.50","3637.50","UNITED HEALTHCARE [1016]","HB WDH UNITED HMO / PPO / INDEM","4692.38","77.4","","5214.50","5214.50","16415.28","1 through 10","705.07","5153.13","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6062.50","3637.50","GENERIC COMMERCIAL [1009]","HB WDH NH HEALTHY FAMILIES + WELLSENSE","705.07","11.63","","400.94","400.94","400.94","1 through 10","705.07","4692.38","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6062.50","3637.50","HARVARD PILGRIM [120001]","HB WDH HPHC EXCHANGE","2650.53","43.72","","1543.33","1543.33","1671.61","1 through 10","705.07","4692.38","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6062.50","3637.50","HARVARD PILGRIM [120001]","HB WDH HPHC HMO POS PPO","4408.65","72.72","","3700.21","2382.07","6427.18","53","705.07","4692.38","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6062.50","3637.50","HARVARD PILGRIM ALTERNATE [120002]","HB WDH HPHC HMO POS PPO","4408.65","72.72","","12685.80","12685.80","12685.80","1 through 10","705.07","4692.38","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6062.50","3637.50","MGB HEALTH PLAN [150001]","HB WDH MGBHP PPO","3813.31","62.9","","3408.87","2784.05","9859.40","46","705.07","4692.38","percent of total billed charges",""
"ACETABULAR AUGMENT 20X54 56MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118713","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6062.50","3637.50","UNITED HEALTHCARE [1016]","HB WDH UNITED HMO / PPO / INDEM","4692.38","77.4","","5214.50","5214.50","16415.28","1 through 10","705.07","4692.38","percent of total billed charges",""
"ACETABULAR INSERT 28MM 0DEG SIZE D TRIDENT POLYETHYLENE","SUP-ITM-10016790","CDM","C1776","HCPCS","0278","RC","","","","both","","","3800.50","2280.30","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM FEDERAL","","","Case rate ($0).","3537.05","3537.05","3537.05","1 through 10","442","3230.43","other","OPPS APC standard_charge|negotiated_dollar calculated as 0;"
"ACETABULAR INSERT 28MM 0DEG SIZE D TRIDENT POLYETHYLENE","SUP-ITM-10016790","CDM","C1776","HCPCS","0278","RC","","","","both","","","3800.50","2280.30","CIGNA [1006]","HB WDH CIGNA HMO / PPO / INDEM","2162.48","56.9","","2911.53","1863.86","5209.05","65","442","3230.43","percent of total billed charges",""
"ACETABULAR INSERT 28MM 0DEG SIZE D TRIDENT POLYETHYLENE","SUP-ITM-10016790","CDM","C1776","HCPCS","0278","RC","","","","both","","","3800.50","2280.30","GENERIC COMMERCIAL [1009]","HB WDH NH HEALTHY FAMILIES + WELLSENSE","442.00","11.63","","400.94","400.94","400.94","1 through 10","442","3230.43","percent of total billed charges",""
"ACETABULAR INSERT 28MM 0DEG SIZE D TRIDENT POLYETHYLENE","SUP-ITM-10016790","CDM","C1776","HCPCS","0278","RC","","","","both","","","3800.50","2280.30","UNITED HEALTHCARE [1016]","HB WDH UNITED HMO / PPO / INDEM","2941.59","77.4","","5214.50","5214.50","16415.28","1 through 10","442","3230.43","percent of total billed charges",""
