hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|MD,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,127.63,127.63,375.5,48,percent of total billed charges,,,
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,123.83,95.6,384.45,349,percent of total billed charges,,,
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,120.2,115.99,338.04,6193,percent of total billed charges,,,
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,119.94,114.61,414.44,44,percent of total billed charges,,,
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,124.18,113.79,376.96,1512,percent of total billed charges,,,
Clinic Visits and Related Services,5012,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,134.17,126.35,383.43,2715,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,98.29,25.68,373.03,15,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,161.62,108.45,601.78,20,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,161.62,59.05,417.47,32,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,148.23,1.48,310.37,74,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,148.74,142.2,349.21,55,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,119.85,110.14,275.45,1 through 10,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,148.17,148.17,148.17,1 through 10,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,142.54,37.52,8610.54,1 through 10,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,158.38,57.45,405.21,19,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,145.01,140.12,648.69,1 through 10,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,152.02,132.9,620.84,1 through 10,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,157.58,157.58,157.58,1 through 10,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,147.67,37.52,1182.58,12,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,143.33,139.03,274.67,433,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,146.6,141.51,251.76,121,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,137.74,37.52,180.28,17,percent of total billed charges,,,
Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,161.62,42.02,390.01,18,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,522.86,300.36,2156.29,1 through 10,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,315.4,211.22,615.91,33,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,320.74,167.89,830.64,73,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,331.58,158.27,824.1,130,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,293.2,144.27,551.15,81,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,232.51,220.29,275.36,1 through 10,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,311.63,311.63,533.07,1 through 10,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,352.48,187.53,845.14,18,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,319.83,166.31,777.36,53,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,321.49,74.23,706.88,24,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,275.37,191.83,1320.66,1 through 10,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,437.93,437.93,437.93,1 through 10,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,431.14,191.83,1387.64,1 through 10,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,282.12,141.06,549.69,1008,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,293.2,146.6,598.46,177,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,273.13,175.08,480.07,21,percent of total billed charges,,,
Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,320.01,176.5,800.49,24,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,594.75,298.42,1228.92,110,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,767.22,439.49,1630.2,80,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,569.03,325.85,1471.9,296,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,538.88,69.25,1216.92,374,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,545.07,146.6,958.08,199,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,598.25,386.65,1570.27,12,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,825.26,677.81,2118.32,1 through 10,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,669.2,335.22,1661.55,23,percent of total billed charges,,,
Level 3 Type A ED Visits,5023,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,581.15,379.97,1199.36,197,percent of total billed charges,,,
