hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|MD,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,23.41,23.41,23.41,1 through 10,percent of total billed charges,,,
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Durable Medical Equipment,N805,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,243.41,223.85,279.92,33,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,301.3,301.3,301.3,1 through 10,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,306.19,284.32,313.84,1 through 10,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,302.86,302.86,313.84,1 through 10,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,276.24,267.06,276.4,20,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,256.2,256.2,256.2,1 through 10,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,263.51,251.84,289.68,104,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,246.12,25,246.12,29,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,215.11,212.98,270.2,74,percent of total billed charges,,,
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Other Medicine,N809,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,20342.66,20342.66,20342.66,1 through 10,percent of total billed charges,,,
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,5046.18,5046.18,5046.18,1 through 10,percent of total billed charges,,,
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,1600.91,1600.91,1600.91,1 through 10,percent of total billed charges,,,
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Observation, Other",N811,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,121.94,121.94,121.94,1 through 10,percent of total billed charges,,,
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,234.24,234.24,234.24,1 through 10,percent of total billed charges,,,
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,2792.43,2792.43,2792.43,1 through 10,percent of total billed charges,,,
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,87.8,87.8,87.8,1 through 10,percent of total billed charges,,,
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Non-covered Services,N900,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,427.16,426.78,442.26,38,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,453.54,437.78,907.07,39,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,458.11,433.2,906.26,117,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,453.99,356.87,916.22,147,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,422.83,422.83,422.83,1 through 10,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,376.75,376.75,376.75,1 through 10,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,453.53,437.78,908.61,56,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,451.98,407.14,904.75,58,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,418.24,209.12,836.48,28,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,406.33,405.97,820.86,91,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,404.02,401.17,412.36,18,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,458.16,212.6,916.32,23,percent of total billed charges,,,
Packaged Services,N902,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,248.13,248.13,248.13,1 through 10,percent of total billed charges,,,
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,266.17,266.17,266.17,1 through 10,percent of total billed charges,,,
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Not Recognized by OPPS,N905,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
HC MED/SURG/GYN PRIVATE,1110001,CDM,111,RC,,,facility,both,,,,1200,1200,,,,,,,,,,,,,Gross Charge Type: BMC 01 MED/SURG/IMC/SSU
HC MED/SURG GYN-SEMI-PRIV,1210001,CDM,121,RC,,,facility,both,,,,2006.25,2006.25,,,,,,,,,,,,,Gross Charge Type: BMC 01 MED/SURG/IMC/SSU
HC MED/SURG/GYN INTERMED SEMI-PRIV,1210002,CDM,121,RC,,,facility,both,,,,2133.7,2133.7,,,,,,,,,,,,,Gross Charge Type: BMC 01 MED/SURG/IMC/SSU
HC LOWER LEVEL OF CARE,1219901,CDM,121,RC,,,facility,both,,,,350,350,,,,,,,,,,,,,Gross Charge Type: BMC 01 MED/SURG/IMC/SSU
HC OB SEMI-PRIVATE ROOM,1220001,CDM,122,RC,,,facility,both,,,,2474.59,2474.59,,,,,,,,,,,,,Gross Charge Type: BMC 04 OB
GENERAL PEDS ROOM DAILY,1230001,CDM,123,RC,,,facility,both,,,,2744.37,2744.37,,,,,,,,,,,,,Gross Charge Type: BMC 02 PEDIATRICS ACUTE
PSYCH ROOM DAILY,1240001,CDM,124,RC,,,facility,both,,,,2435.41,2435.41,,,,,,,,,,,,,Gross Charge Type: BMC 03 PSYCHIATRY
HC PSYCH LOWER OF CARE,1249901,CDM,124,RC,,,facility,both,,,,500,500,,,,,,,,,,,,,Gross Charge Type: BMC 03 PSYCHIATRY
HC PSYCH LOWER OF CARE,1249901,CDM,124,RC,,,facility,both,,,,900,900,,,,,,,,,,,,,Gross Charge Type: BMC 09 NICU
HC  SEMI-PRIV DETOX,1260001,CDM,126,RC,,,facility,both,,,,565,565,,,,,,,,,,,,,Gross Charge Type: BMC 03 PSYCHIATRY
HC  SEMI-PRIV DETOX,1260001,CDM,126,RC,,,facility,both,,,,832.91,832.91,,,,,,,,,,,,,Gross Charge Type: BMC 01 MED/SURG/IMC/SSU
HC REHAB SEMI-PRIV,1280001,CDM,128,RC,,,facility,both,,,,1882.02,1882.02,,,,,,,,,,,,,Gross Charge Type: BMC 16 REHAB (RHB)
HC LOWER LEVEL CARE REHAB (R/C 16),1289901,CDM,128,RC,,,facility,both,,,,402.71,402.71,,,,,,,,,,,,,Gross Charge Type: BMC 16 REHAB (RHB)
HC NICU LOWER LEVEL OF CARE,1709901,CDM,170,RC,,,facility,both,,,,900,900,,,,,,,,,,,,,Gross Charge Type: BMC 09 NICU
HC NEWBORN 1 ROOM DAILY,1710001,CDM,171,RC,,,facility,both,,,,647.84,647.84,,,,,,,,,,,,,Gross Charge Type: BMC 14 NURSERY
HC NEWBORN 2 ROOM DAILY,1720001,CDM,172,RC,,,facility,both,,,,2649.7,2649.7,,,,,,,,,,,,,Gross Charge Type: BMC 09 NICU
HC NEWBORN 3 ROOM DAILY,1730001,CDM,173,RC,,,facility,both,,,,3156.48,3156.48,,,,,,,,,,,,,Gross Charge Type: BMC 09 NICU
HC NEWBORN 4 ROOM DAILY,1740001,CDM,174,RC,,,facility,both,,,,3553.17,3553.17,,,,,,,,,,,,,Gross Charge Type: BMC 09 NICU
ICU ROOM,2000001,CDM,200,RC,,,facility,both,,,,4399.59,4399.59,,,,,,,,,,,,,Gross Charge Type: BMC 06 ICU
ICU SURG ROOM DAILY,2010001,CDM,201,RC,,,facility,both,,,,4399.59,4399.59,,,,,,,,,,,,,Gross Charge Type: BMC 06 ICU
HC ICU/BURN CARE ROOM DLY,2070001,CDM,207,RC,,,facility,both,,,,9770.24,9770.24,,,,,,,,,,,,,Gross Charge Type: BMC 10 BURN
HC BURN INTERMED ROOM DLY,2070002,CDM,207,RC,,,facility,both,,,,7128.47,7128.47,,,,,,,,,,,,,Gross Charge Type: BMC 10 BURN
ICU CARD ROOM DAILY,2100001,CDM,210,RC,,,facility,both,,,,4399.59,4399.59,,,,,,,,,,,,,Gross Charge Type: BMC 07 CCU
HC ADMISSION CHARGE,22100001,CDM,221,RC,,,facility,both,,,,398.21,398.21,,,,,,,,,,,,,Gross Charge Type: BMC 64 ADMISSIONS
HC HYDRATION IV INFUSION 1ST HOUR,26000001,CDM,260,RC,96360,HCPCS,facility,both,,,,528.43,528.43,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
HC HYDRATION IV INFUSION EACH ADDL HOUR,26000002,CDM,260,RC,96361,HCPCS,facility,both,,,,198.16,198.16,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
HC IV INFUSION DRUG THERAPY 1ST HOUR,26000003,CDM,260,RC,96365,HCPCS,facility,both,,,,1188.97,1188.97,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
HC INFUSION DRUG THERAPY EA ADDL HOUR,26000004,CDM,260,RC,96366,HCPCS,facility,both,,,,264.22,264.22,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"HC IV INFUSION, ADDL SEQ UP TO 1 HOUR",26000005,CDM,260,RC,96367,HCPCS,facility,both,,,,462.38,462.38,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"HC IV INFUSION, CONCURRENT",26000006,CDM,260,RC,96368,HCPCS,facility,both,,,,264.22,264.22,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"HC THER/PROPH/DIAG INJ, SC/IM",26000007,CDM,260,RC,96372,HCPCS,facility,both,,,,70.47,70.47,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC PSY TIER C REGULATED GROUP A
"HC THER/PROPH/DIAG INJ, SC/IM",26000007,CDM,260,RC,96372,HCPCS,facility,both,,,,132.11,132.11,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"HC THER/PROPH/DIAG INJ, IV PUSH",26000008,CDM,260,RC,96374,HCPCS,facility,both,,,,660.54,660.54,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"HC TX/PRO/DX INJ EA ADDL SEQ, NEW",26000009,CDM,260,RC,96375,HCPCS,facility,both,,,,264.22,264.22,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"HC TX/PRO/DX INJ EA ADDL SEQ, SAME",26000010,CDM,260,RC,96376,HCPCS,facility,both,,,,66.05,66.05,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
HC SPINE/BRAIN PUMP REFILL PHYS,26000011,CDM,260,RC,95991,HCPCS,facility,both,,,,164,164,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
HC IRRIGATION OF IMPLANTED VAD,26000012,CDM,260,RC,96523,HCPCS,facility,both,,,,198.16,198.16,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
HC APPLICATION OF ON-BODY INJECTOR FOR TIMED SUBQ INJECTION,26000052,CDM,260,RC,96377,HCPCS,facility,both,,,,264.22,264.22,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"DEAC 04/16/2021 HC IV INFUSION, BAMLANIVIMAB XXXX, INCLUDES INFUSION AND POST ADMINISTRATION",26000053,CDM,771,RC,,,facility,both,,,,309.6,309.6,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"DEAC 4/1/2025 HC IV INFUSION, CASIRIVIMAB & IMDEVIMAB, INCL INFUSION & POST ADM MONITOR",26000054,CDM,771,RC,,,facility,both,,,,450,450,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"DEAC 4/1/2025 HC IV INFUSION, BAMLANIVIMAB AND ETESEVIMAB, INCLUDES INFUSION AND POST ADMIN MONITORING",26000055,CDM,771,RC,,,facility,both,,,,450,450,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
"DEAC 4/1/2025 HC IV INFUS/SUBSQ INJ, CASIRIVIMAB & IMDEVIMAB W/POST ADM MONITOR, REPEAT DOSES",26000056,CDM,771,RC,,,facility,both,,,,450,450,,,,,,,,,,,,,Gross Charge Type: BMC 29 CLINIC ACUTE
HC ROUTINE VENIPUNCTURE,30000001,CDM,300,RC,36415,HCPCS,facility,both,,,,12,12,,,,,,,,,,,,,Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE
HC ROUTINE VENIPUNCTURE,30000001,CDM,300,RC,36415,HCPCS,facility,both,,,,10,10,,,,,,,,,,,,,Gross Charge Type: JHH PATHOLOGY ADMIN ONLY RSH FEE SCHEDULE
HC ROUTINE VENIPUNCTURE,30000001,CDM,300,RC,36415,HCPCS,facility,both,,,,3,3,,,,,,,,,,,,,Gross Charge Type: FMCMC22 FRESENIUS MEDICAL CARE
HC ROUTINE VENIPUNCTURE,30000001,CDM,300,RC,36415,HCPCS,facility,both,,,,16.75,16.75,,,,,,,,,,,,,Gross Charge Type: BMC 42 LABS
HC ROUTINE VENIPUNCTURE,30000001,CDM,300,RC,36415,HCPCS,facility,both,,,,8,8,,,,,,,,,,,,,Gross Charge Type: LAB-LABCORP AND QUEST CLIENT FEE SCHEDULE
HC METABOLIC PANEL TOTAL CA,30000004,CDM,301,RC,80048,HCPCS,facility,both,,,,12,12,,,,,,,,,,,,,Gross Charge Type: JHH PATHOLOGY ADMIN ONLY RSH FEE SCHEDULE
HC METABOLIC PANEL TOTAL CA,30000004,CDM,301,RC,80048,HCPCS,facility,both,,,,8.46,8.46,,,,,,,,,,,,,Gross Charge Type: FMCMC22 FRESENIUS MEDICAL CARE
HC METABOLIC PANEL TOTAL CA,30000004,CDM,301,RC,80048,HCPCS,facility,both,,,,24,24,,,,,,,,,,,,,Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE
HC METABOLIC PANEL TOTAL CA,30000004,CDM,301,RC,80048,HCPCS,facility,both,,,,23.03,23.03,,,,,,,,,,,,,Gross Charge Type: BMC 42 LABS
HC COMPREHENSIVE METABOLIC PANEL,30000005,CDM,301,RC,80053,HCPCS,facility,both,,,,10.56,10.56,,,,,,,,,,,,,Gross Charge Type: FMCMC22 FRESENIUS MEDICAL CARE
HC COMPREHENSIVE METABOLIC PANEL,30000005,CDM,301,RC,80053,HCPCS,facility,both,,,,30,30,,,,,,,,,,,,,Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE
HC COMPREHENSIVE METABOLIC PANEL,30000005,CDM,301,RC,80053,HCPCS,facility,both,,,,15,15,,,,,,,,,,,,,Gross Charge Type: JHH PATHOLOGY ADMIN ONLY RSH FEE SCHEDULE
HC COMPREHENSIVE METABOLIC PANEL,30000005,CDM,301,RC,80053,HCPCS,facility,both,,,,15,15,,,,,,,,,,,,,Gross Charge Type: BMC NIDA CLIENT FEE SCHEDULE
HC COMPREHENSIVE METABOLIC PANEL,30000005,CDM,301,RC,80053,HCPCS,facility,both,,,,31.4,31.4,,,,,,,,,,,,,Gross Charge Type: BMC 42 LABS
HC RENAL FUNCTION PANEL,30000006,CDM,301,RC,80069,HCPCS,facility,both,,,,24,24,,,,,,,,,,,,,Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE
HC RENAL FUNCTION PANEL,30000006,CDM,301,RC,80069,HCPCS,facility,both,,,,12,12,,,,,,,,,,,,,Gross Charge Type: JHH PATHOLOGY ADMIN ONLY RSH FEE SCHEDULE
