"hospital_name","last_updated_on","version","location_name","hospital_address","type_2_npi","license_number|MD","To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.","attester_name"
"The Johns Hopkins Hospital","2026-04-01","3.0.0","The Johns Hopkins Hospital","600 North  Wolfe Street, Baltimore, MD 21287","1578597993","30034","true","Ed Beranek"
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","billing_class","setting","drug_unit_of_measurement","drug_type_of_measurement","modifiers","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|methodology","standard_charge|min","standard_charge|max","additional_generic_notes"
"HC UNLISTED MOL PATH (1190)","30900284","CDM","310","RC","81479","HCPCS","facility","both","","","","3188.79","3188.79","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1190)","30900284","CDM","310","RC","81479","HCPCS","facility","both","","","","1995","1995","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1190)","30900284","CDM","310","RC","81479","HCPCS","facility","both","","","","2491.19","2491.19","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1380)","30900285","CDM","310","RC","81479","HCPCS","facility","both","","","","2888.94","2888.94","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1380)","30900285","CDM","310","RC","81479","HCPCS","facility","both","","","","3697.92","3697.92","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1380)","30900285","CDM","310","RC","81479","HCPCS","facility","both","","","","2784","2784","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1380)","30900285","CDM","310","RC","81479","HCPCS","facility","both","","","","83","83","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1460)","30900286","CDM","310","RC","81479","HCPCS","facility","both","","","","3912.3","3912.3","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1460)","30900286","CDM","310","RC","81479","HCPCS","facility","both","","","","3056.42","3056.42","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1500)","30900287","CDM","310","RC","81479","HCPCS","facility","both","","","","2545","2545","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1500)","30900287","CDM","310","RC","81479","HCPCS","facility","both","","","","4019.48","4019.48","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1500)","30900287","CDM","310","RC","81479","HCPCS","facility","both","","","","3140.16","3140.16","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1540)","30900288","CDM","310","RC","81479","HCPCS","facility","both","","","","3223.89","3223.89","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1540)","30900288","CDM","310","RC","81479","HCPCS","facility","both","","","","4126.67","4126.67","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1540)","30900288","CDM","310","RC","81479","HCPCS","facility","both","","","","2700","2700","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1570)","30900289","CDM","310","RC","81479","HCPCS","facility","both","","","","3286.69","3286.69","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1570)","30900289","CDM","310","RC","81479","HCPCS","facility","both","","","","4207.06","4207.06","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1600)","30900290","CDM","310","RC","81479","HCPCS","facility","both","","","","4287.44","4287.44","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1600)","30900290","CDM","310","RC","81479","HCPCS","facility","both","","","","0.01","0.01","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1600)","30900290","CDM","310","RC","81479","HCPCS","facility","both","","","","3349.5","3349.5","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1700)","30900291","CDM","310","RC","81479","HCPCS","facility","both","","","","4555.41","4555.41","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1700)","30900291","CDM","310","RC","81479","HCPCS","facility","both","","","","3558.84","3558.84","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1770)","30900292","CDM","310","RC","81479","HCPCS","facility","both","","","","3705.39","3705.39","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1770)","30900292","CDM","310","RC","81479","HCPCS","facility","both","","","","4743","4743","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1770)","30900292","CDM","310","RC","81479","HCPCS","facility","both","","","","3245","3245","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1840)","30900293","CDM","310","RC","81479","HCPCS","facility","both","","","","3206","3206","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1840)","30900293","CDM","310","RC","81479","HCPCS","facility","both","","","","4930.56","4930.56","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1840)","30900293","CDM","310","RC","81479","HCPCS","facility","both","","","","3851.92","3851.92","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1870)","30900294","CDM","310","RC","81479","HCPCS","facility","both","","","","754","754","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1870)","30900294","CDM","310","RC","81479","HCPCS","facility","both","","","","5010.96","5010.96","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1870)","30900294","CDM","310","RC","81479","HCPCS","facility","both","","","","3914.72","3914.72","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1890)","30900295","CDM","310","RC","81479","HCPCS","facility","both","","","","5064.54","5064.54","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1890)","30900295","CDM","310","RC","81479","HCPCS","facility","both","","","","3956.59","3956.59","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1920)","30900296","CDM","310","RC","81479","HCPCS","facility","both","","","","4019.4","4019.4","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1920)","30900296","CDM","310","RC","81479","HCPCS","facility","both","","","","5144.94","5144.94","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1970)","30900297","CDM","310","RC","81479","HCPCS","facility","both","","","","5278.93","5278.93","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1970)","30900297","CDM","310","RC","81479","HCPCS","facility","both","","","","4124.07","4124.07","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1970)","30900297","CDM","310","RC","81479","HCPCS","facility","both","","","","4340","4340","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1980)","30900298","CDM","310","RC","81479","HCPCS","facility","both","","","","5005","5005","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (1980)","30900298","CDM","310","RC","81479","HCPCS","facility","both","","","","5305.71","5305.71","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1980)","30900298","CDM","310","RC","81479","HCPCS","facility","both","","","","4145","4145","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2050)","30900299","CDM","310","RC","81479","HCPCS","facility","both","","","","4291.55","4291.55","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2050)","30900299","CDM","310","RC","81479","HCPCS","facility","both","","","","3050","3050","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (2050)","30900299","CDM","310","RC","81479","HCPCS","facility","both","","","","5493.29","5493.29","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2070)","30900300","CDM","310","RC","81479","HCPCS","facility","both","","","","5546.88","5546.88","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2070)","30900300","CDM","310","RC","81479","HCPCS","facility","both","","","","4333.42","4333.42","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (1210)","30900301","CDM","310","RC","81479","HCPCS","facility","both","","","","3242.38","3242.38","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (1210)","30900301","CDM","310","RC","81479","HCPCS","facility","both","","","","2533.06","2533.06","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2150)","30900302","CDM","310","RC","81479","HCPCS","facility","both","","","","5761.26","5761.26","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2150)","30900302","CDM","310","RC","81479","HCPCS","facility","both","","","","4500.89","4500.89","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2230)","30900303","CDM","310","RC","81479","HCPCS","facility","both","","","","4668.36","4668.36","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2230)","30900303","CDM","310","RC","81479","HCPCS","facility","both","","","","5975.63","5975.63","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2400)","30900304","CDM","310","RC","81479","HCPCS","facility","both","","","","6431.17","6431.17","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2400)","30900304","CDM","310","RC","81479","HCPCS","facility","both","","","","5024.25","5024.25","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2420)","30900305","CDM","310","RC","81479","HCPCS","facility","both","","","","4490","4490","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (2420)","30900305","CDM","310","RC","81479","HCPCS","facility","both","","","","6484.77","6484.77","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2420)","30900305","CDM","310","RC","81479","HCPCS","facility","both","","","","5066.12","5066.12","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2710)","30900306","CDM","310","RC","81479","HCPCS","facility","both","","","","5673.22","5673.22","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2710)","30900306","CDM","310","RC","81479","HCPCS","facility","both","","","","7261.87","7261.87","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2800)","30900307","CDM","310","RC","81479","HCPCS","facility","both","","","","5861.63","5861.63","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2800)","30900307","CDM","310","RC","81479","HCPCS","facility","both","","","","7503.03","7503.03","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2800)","30900307","CDM","310","RC","81479","HCPCS","facility","both","","","","5392","5392","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (4400)","30900308","CDM","310","RC","81479","HCPCS","facility","both","","","","9211.12","9211.12","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (4400)","30900308","CDM","310","RC","81479","HCPCS","facility","both","","","","11790.48","11790.48","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (4880)","30900309","CDM","310","RC","81479","HCPCS","facility","both","","","","10215.97","10215.97","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (4880)","30900309","CDM","310","RC","81479","HCPCS","facility","both","","","","13076.71","13076.71","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (4880)","30900309","CDM","310","RC","81479","HCPCS","facility","both","","","","10000","10000","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (6000)","30900310","CDM","310","RC","81479","HCPCS","facility","both","","","","11210","11210","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (6000)","30900310","CDM","310","RC","81479","HCPCS","facility","both","","","","16077.93","16077.93","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (6000)","30900310","CDM","310","RC","81479","HCPCS","facility","both","","","","12560.62","12560.62","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC ONCOLOGY BREAST MRNA (24500","30900311","CDM","310","RC","81519","HCPCS","facility","both","","","","5128.92","5128.92","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC ONCOLOGY BREAST MRNA (24500","30900311","CDM","310","RC","81519","HCPCS","facility","both","","","","6565.16","6565.16","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOLE PROC (1630)","30900312","CDM","310","RC","81479","HCPCS","facility","both","","","","4367.83","4367.83","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOLE PROC (1630)","30900312","CDM","310","RC","81479","HCPCS","facility","both","","","","3412.3","3412.3","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC MOPATH PROCEDUR LEVEL 1 (650)","30900313","CDM","310","RC","81400","HCPCS","facility","both","","","","1741.77","1741.77","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC MOPATH PROCEDUR LEVEL 1 (650)","30900313","CDM","310","RC","81400","HCPCS","facility","both","","","","0.01","0.01","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC MOPATH PROCEDUR LEVEL 1 (650)","30900313","CDM","310","RC","81400","HCPCS","facility","both","","","","1360.73","1360.73","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC FETAL CHROMOSOMAL ANEUPLOIDY (990)","30900314","CDM","310","RC","81420","HCPCS","facility","both","","","","2072.5","2072.5","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC FETAL CHROMOSOMAL ANEUPLOIDY (990)","30900314","CDM","310","RC","81420","HCPCS","facility","both","","","","1652","1652","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC FETAL CHROMOSOMAL ANEUPLOIDY (990)","30900314","CDM","310","RC","81420","HCPCS","facility","both","","","","2652.86","2652.86","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC TARGETED GENOMIC SEQ ANALYSIS (1000)","30900315","CDM","310","RC","81455","HCPCS","facility","both","","","","2679.66","2679.66","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC TARGETED GENOMIC SEQ ANALYSIS (1000)","30900315","CDM","310","RC","81455","HCPCS","facility","both","","","","1673","1673","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC TARGETED GENOMIC SEQ ANALYSIS (1000)","30900315","CDM","310","RC","81455","HCPCS","facility","both","","","","2093.44","2093.44","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC TARGETED GENOMIC SEQ ANALYSIS (1000)","30900315","CDM","310","RC","81455","HCPCS","facility","both","","","","5304","5304","","","","","","","","","","","","","Gross Charge Type: SMH SOFT LAB FEE SCHEDULE"
"HC  TARGETED GEN SEQ 5-50 (460)","30900316","CDM","310","RC","81445","HCPCS","facility","both","","","","962.98","962.98","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC  TARGETED GEN SEQ 5-50 (460)","30900316","CDM","310","RC","81445","HCPCS","facility","both","","","","3450","3450","","","","","","","","","","","","","Gross Charge Type: SMH SOFT LAB FEE SCHEDULE"
"HC  TARGETED GEN SEQ 5-50 (460)","30900316","CDM","310","RC","81445","HCPCS","facility","both","","","","1232.64","1232.64","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC TARGETED GEN SEQ 5-50 (435)","30900317","CDM","310","RC","81445","HCPCS","facility","both","","","","3458","3458","","","","","","","","","","","","","Gross Charge Type: SMH SOFT LAB FEE SCHEDULE"
"HC TARGETED GEN SEQ 5-50 (435)","30900317","CDM","310","RC","81445","HCPCS","facility","both","","","","910.64","910.64","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC TARGETED GEN SEQ 5-50 (435)","30900317","CDM","310","RC","81445","HCPCS","facility","both","","","","1165.65","1165.65","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOLE PROC (765)","30900318","CDM","310","RC","81479","HCPCS","facility","both","","","","1601.48","1601.48","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOLE PROC (765)","30900318","CDM","310","RC","81479","HCPCS","facility","both","","","","2049.93","2049.93","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOLE PROC (5150)","30900319","CDM","310","RC","81479","HCPCS","facility","both","","","","10781.2","10781.2","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOLE PROC (5150)","30900319","CDM","310","RC","81479","HCPCS","facility","both","","","","13800.22","13800.22","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC BCR/ABL MJR BP (275)","30900320","CDM","310","RC","81206","HCPCS","facility","both","","","","736.9","736.9","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC BCR/ABL MJR BP (275)","30900320","CDM","310","RC","81206","HCPCS","facility","both","","","","465","465","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC BCR/ABL MJR BP (275)","30900320","CDM","310","RC","81206","HCPCS","facility","both","","","","1288","1288","","","","","","","","","","","","","Gross Charge Type: SMH SOFT LAB FEE SCHEDULE"
"HC BCR/ABL MJR BP (275)","30900320","CDM","310","RC","81206","HCPCS","facility","both","","","","575.7","575.7","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC FLT3 GENE (160)","30900321","CDM","310","RC","81245","HCPCS","facility","both","","","","334.95","334.95","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC FLT3 GENE (160)","30900321","CDM","310","RC","81245","HCPCS","facility","both","","","","428.74","428.74","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC KRAS GENE (90)","30900322","CDM","310","RC","81275","HCPCS","facility","both","","","","365","365","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC KRAS GENE (90)","30900322","CDM","310","RC","81275","HCPCS","facility","both","","","","241.17","241.17","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC KRAS GENE (90)","30900322","CDM","310","RC","81275","HCPCS","facility","both","","","","188.41","188.41","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC BRAF GENE (75)","30900323","CDM","310","RC","81210","HCPCS","facility","both","","","","157.01","157.01","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC BRAF GENE (75)","30900323","CDM","310","RC","81210","HCPCS","facility","both","","","","1039","1039","","","","","","","","","","","","","Gross Charge Type: SMH SOFT LAB FEE SCHEDULE"
"HC BRAF GENE (75)","30900323","CDM","310","RC","81210","HCPCS","facility","both","","","","200.97","200.97","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC MOPATH PROCEDUR LEVEL 4 (305)","30900324","CDM","310","RC","81403","HCPCS","facility","both","","","","638.5","638.5","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC MOPATH PROCEDUR LEVEL 4 (305)","30900324","CDM","310","RC","81403","HCPCS","facility","both","","","","817.29","817.29","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC CHIMERISM ANAL W/CELL SELECT (210)","30900325","CDM","310","RC","81268","HCPCS","facility","both","","","","439.62","439.62","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC CHIMERISM ANAL W/CELL SELECT (210)","30900325","CDM","310","RC","81268","HCPCS","facility","both","","","","562.73","562.73","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC UNLISTED MOL PATH (2200)","30900326","CDM","310","RC","81479","HCPCS","facility","both","","","","4605.56","4605.56","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC UNLISTED MOL PATH (2200)","30900326","CDM","310","RC","81479","HCPCS","facility","both","","","","3720","3720","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC UNLISTED MOL PATH (2200)","30900326","CDM","310","RC","81479","HCPCS","facility","both","","","","5895.24","5895.24","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC JAK2 GENE (125)","30900327","CDM","310","RC","81270","HCPCS","facility","both","","","","769","769","","","","","","","","","","","","","Gross Charge Type: SMH SOFT LAB FEE SCHEDULE"
"HC JAK2 GENE (125)","30900327","CDM","310","RC","81270","HCPCS","facility","both","","","","261.68","261.68","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC JAK2 GENE (125)","30900327","CDM","310","RC","81270","HCPCS","facility","both","","","","334.96","334.96","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC JAK2 GENE (125)","30900327","CDM","310","RC","81270","HCPCS","facility","both","","","","218.75","218.75","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC CEBPA GENE FULL SEQ (345)","30900328","CDM","310","RC","81218","HCPCS","facility","both","","","","924.48","924.48","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC CEBPA GENE FULL SEQ (345)","30900328","CDM","310","RC","81218","HCPCS","facility","both","","","","722.23","722.23","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC CEBPA GENE FULL SEQ (345)","30900328","CDM","310","RC","81218","HCPCS","facility","both","","","","2098","2098","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC NRAS GENE VAR EXON 2-3 (450)","30900329","CDM","310","RC","81311","HCPCS","facility","both","","","","1884","1884","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC NRAS GENE VAR EXON 2-3 (450)","30900329","CDM","310","RC","81311","HCPCS","facility","both","","","","942.05","942.05","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC NRAS GENE VAR EXON 2-3 (450)","30900329","CDM","310","RC","81311","HCPCS","facility","both","","","","1205.84","1205.84","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC MOLE PROC LEVEL 2 (105)","30900330","CDM","310","RC","81401","HCPCS","facility","both","","","","699","699","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC MOLE PROC LEVEL 2 (105)","30900330","CDM","310","RC","81401","HCPCS","facility","both","","","","165","165","","","","","","","","","","","","","Gross Charge Type: JHH CLIN CLIENT FEE SCHEDULE"
"HC MOLE PROC LEVEL 2 (105)","30900330","CDM","310","RC","81401","HCPCS","facility","both","","","","219.81","219.81","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC MOLE PROC LEVEL 2 (105)","30900330","CDM","310","RC","81401","HCPCS","facility","both","","","","281.36","281.36","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC MOLE PROC LEVEL 5 (450)","30900331","CDM","310","RC","81404","HCPCS","facility","both","","","","942.05","942.05","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC MOLE PROC LEVEL 5 (450)","30900331","CDM","310","RC","81404","HCPCS","facility","both","","","","2470","2470","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC MOLE PROC LEVEL 5 (450)","30900331","CDM","310","RC","81404","HCPCS","facility","both","","","","1205.84","1205.84","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC KIT GENE TGT SEQ (415)","30900332","CDM","310","RC","81272","HCPCS","facility","both","","","","2098","2098","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC KIT GENE TGT SEQ (415)","30900332","CDM","310","RC","81272","HCPCS","facility","both","","","","1112.06","1112.06","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC KIT GENE TGT SEQ (415)","30900332","CDM","310","RC","81272","HCPCS","facility","both","","","","868.77","868.77","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC KRAS GENE VAR (1)","30900333","CDM","310","RC","81276","HCPCS","facility","both","","","","2.09","2.09","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC KRAS GENE VAR (1)","30900333","CDM","310","RC","81276","HCPCS","facility","both","","","","1257","1257","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC KRAS GENE VAR (1)","30900333","CDM","310","RC","81276","HCPCS","facility","both","","","","2.68","2.68","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC FLT3 GENE (1)","30900334","CDM","310","RC","81246","HCPCS","facility","both","","","","531","531","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC FLT3 GENE (1)","30900334","CDM","310","RC","81246","HCPCS","facility","both","","","","2.68","2.68","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC FLT3 GENE (1)","30900334","CDM","310","RC","81246","HCPCS","facility","both","","","","2.09","2.09","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
"HC KIT GENE TGTD SEQ (1)","30900335","CDM","310","RC","81272","HCPCS","facility","both","","","","2098","2098","","","","","","","","","","","","","Gross Charge Type: SMH DEFAULT FEE SCHEDULE"
"HC KIT GENE TGTD SEQ (1)","30900335","CDM","310","RC","81272","HCPCS","facility","both","","","","2.68","2.68","","","","","","","","","","","","","Gross Charge Type: JHH LABS 42"
"HC KIT GENE TGTD SEQ (1)","30900335","CDM","310","RC","81272","HCPCS","facility","both","","","","2.09","2.09","","","","","","","","","","","","","Gross Charge Type: BMC 42 LABS"
