hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Newton Wellesley Hospital,2026-03-27,3.0.0,Newton Wellesley Hospital,2014 Washington St Newton MA 02462-1607,2075,1992737761,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","BLUE CROSS BLUE SHIELD [110001]","HB NWH MEDICARE","1113.30","","APC Price ($1,113.30). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.276). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","1095.60","1095.60","1095.60","1 through 10","761.55","1676.62","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","HARVARD PILGRIM ALTERNATE [120002]","HB CH HPHC ALLIANCE PPO PREFERRED B","761.55","","Case rate ($761.55). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 259%, 129.5 procedures at 0%.","1972.41","1972.41","1972.41","1 through 10","761.55","1676.62","other","Multiple Surgery"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","MEDICARE [2001]","HB NWH MEDICARE","1113.30","","APC Price ($1,113.30). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.276). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","1113.41","989.36","1113.41","128","761.55","1676.62","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","TUFTS HEALTH PLAN [170001]","HB NWH TUFTS MEDICARE REPLACEMENT","1091.03","","APC Price ($1,113.30). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.276). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","1093.14","1091.14","3279.42","69","761.55","1676.62","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","UNITED HEALTHCARE [1016]","HB NWH UNITED MEDICARE REPLACEMENT","1091.03","","APC Price ($1,113.30). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.276). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","1098.14","1098.14","1113.41","1 through 10","761.55","1676.62","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","WELLPOINT [1015]","HB CH WELLPOINT","1676.62","77.91","","3741.45","1648.45","3741.45","1 through 10","761.55","1676.62","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","870.88","","Case rate ($870.88). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.4%, 72.2 procedures at 0%.","1231.42","1231.42","1231.42","23","761.55","1873.9","other","ASC "
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","870.88","","Case rate ($870.88). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.6%, 72.3 procedures at 0%.","1233.17","1233.17","1259.29","35","761.55","1873.9","other","ASC "
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","HARVARD PILGRIM [120001]","HB CH HPHC HMO / POS","761.55","","Case rate ($761.55). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 235 procedures at 0%, 117.5 procedures at 0%.","1789.64","1789.64","3442.20","53","761.55","1873.9","other","Multiple Surgery"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","HARVARD PILGRIM [120001]","HB CH HPHC PPO / PREFERRED A","761.55","","Case rate ($761.55). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 247%, 123.5 procedures at 0%.","1881.03","1881.03","1881.03","1 through 10","761.55","1873.9","other","Multiple Surgery"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","outpatient","","","2152.00","1614.00","UNITED HEALTHCARE [1016]","HB CH UNITED HMO / PPO / INDEMNITY","1688.24","78.45","","1609.10","1609.10","1609.10","1 through 10","761.55","1873.9","percent of total billed charges",""
"Abdominal Paracentesis W/O Imaging","PX-75000277","CDM","49082","CPT","0361","RC","","","","both","","","1631.00","1223.25","UNITED HEALTHCARE [1016]","HB NWH UNITED MEDICARE REPLACEMENT","1091.03","","APC Price ($1,113.30). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.276). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","1113.41","1093.64","1113.41","1 through 10","761.55","1270.71","other","OPPS APC"
"Abdominal Paracentesis W/O Imaging","PX-75000277","CDM","49082","CPT","0761","RC","","","","outpatient","","","1631.00","1223.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","870.88","","Case rate ($870.88). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.4%, 72.2 procedures at 0%.","1231.42","1231.42","1231.42","1 through 10","870.88","870.88","other","ASC "
"Abdominal Paracentesis W/O Imaging","PX-75000277","CDM","49082","CPT","0761","RC","","","","outpatient","","","1631.00","1223.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","870.88","","Case rate ($870.88). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.6%, 72.3 procedures at 0%.","1259.29","1259.29","1259.29","1 through 10","870.88","870.88","other","ASC "
"Ablation Endometrial Thermal","PX-76001389","CDM","58353","CPT","0761","RC","","","","outpatient","","","8481.00","6360.75","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","4718.12","","Case rate ($4,718.12). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 144.6%, 72.3 procedures at 0%.","6822.40","6822.40","6822.40","1 through 10","3713.25","7178","other","ASC "
"Ablation Tumor Liver Radiofreq Perc","PX-75000243","CDM","47382","CPT","0361","RC","","","","both","","","13805.00","10353.75","MEDICARE [2001]","HB NWH MEDICARE","6927.95","","APC Price ($6,927.95). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.276). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","6928.65","6928.65","6928.65","1 through 10","4136.27","10755.48","other","OPPS APC"
"Ablation Tumor Liver Radiofreq Perc","PX-75000243","CDM","47382","CPT","0361","RC","","","","both","","","13805.00","10353.75","UNITED HEALTHCARE [1016]","HB NWH UNITED MEDICARE REPLACEMENT","6789.39","","APC Price ($6,927.95). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.276). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","6797.58","6797.58","6797.58","1 through 10","4136.27","10755.48","other","OPPS APC"
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","both","","","4625.00","3468.75","AETNA [1001]","HB CH AETNA HMO / PPO","2696.38","58.3","","4687.96","3384.99","5990.92","1 through 10","1984.13","3888.77","percent of total billed charges",""
"Abortion Induced D&C","PX-72000030","CDM","59840","CPT","0361","RC","","","","both","","","4625.00","3468.75","HARVARD PILGRIM ALTERNATE [120002]","HB CH HPHC ALLIANCE PPO PREFERRED B","2125.14","","Case rate ($2,125.14). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 259%, 129.5 procedures at 0%.","5504.11","5504.11","5504.11","1 through 10","1984.13","3888.77","other","Multiple Surgery"
