hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Brigham and Women's Faulkner Hospital,2026-03-27,3.0.0,Brigham and Women's Faulkner Hospital,1153 Centre St Boston MA 02130-3446,2048,1578677811,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"Abdominal Pain,MINOR","251","DRG","","","","","","","","inpatient","","","24050.10","","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL HMO","5955.87","","Fee schedule rate ($5,955.87). If the estimated cost, defined as the billed amount multiplied by the cost-to-charge ratio (0.2688), exceeds an outlier threshold, defined as the inlier reimbursement plus a stop loss amount ($24,044), then an outlier payment applies. The outlier payment equals the excess of the estimated cost over the outlier threshold, multiplied by the marginal cost factor (1). Otherwise, no outlier payment applies.","5955.87","5955.87","5955.87","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MINOR","251","DRG","","","","","","","","inpatient","","","24050.10","","WELLSENSE [1003]","HB BWF WELLSENSE MCO","4618.59","","Case rate ($5,106.64). If cost, defined as total billed times cost-to-charge ratio (0.4262), exceeds outlier threshold $47,536.64, an outlier payment of 60% of the excess amount is included. For transfer scenarios, reimbursement is the lesser of a per diem of $0.00 and the sum of the standard inlier and any outlier amount.","5105.39","5105.39","5105.39","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MODERATE","251","DRG","","","","","","","","inpatient","","","24416.98","","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","14417.27","","Standard inlier is a Case rate ($14,417.27). If the cost, defined as total billed multiplied by the cost-to-charge ratio of 0.2802, exceeds the outlier threshold of $23,100, the excess is included in the final reimbursement as an outlier payment. For transfer scenarios, the final reimbursement is the lesser of the Per diem ($2,046.59) for the length of stay and the standard reimbursement.","14417.27","14417.27","14417.27","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MODERATE","251","DRG","","","","","","","","inpatient","","","24416.98","","HARVARD PILGRIM [120001]","HB CH HPHC HMO / POS","8074.7544","","Fee schedule rate ($17,443.19). If the estimated cost, defined as the billed amount multiplied by the cost-to-charge ratio (0.736), exceeds an outlier threshold, defined as the inlier reimbursement plus a stop loss amount ($93,140), then an outlier payment applies. The outlier payment equals the excess of the estimated cost over the outlier threshold, multiplied by the marginal cost factor (1). Otherwise, no outlier payment applies.","8074.7544","11226.88","11226.88","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MODERATE","251","DRG","","","","","","","","inpatient","","","24416.98","","MGB HEALTH PLAN [150001]","HB BWF MGBHP MEDICAID","5450.23","","Case rate ($6,026.16). If cost, defined as total billed times cost-to-charge ratio (0.4262), exceeds outlier threshold $48,456.16, an outlier payment of 60% of the excess amount is included. For transfer scenarios, reimbursement is the lesser of a per diem of $0.00 and the sum of the standard inlier and any outlier amount.","8323.03","8323.03","8323.03","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MODERATE","251","DRG","","","","","","","","inpatient","","","24416.98","","TUFTS HEALTH PUBLIC PLANS [1013]","HB BWF MEDICAID","5450.23","","Case rate ($6,026.16). If cost, defined as total billed times cost-to-charge ratio (0.4262), exceeds outlier threshold $48,456.16, an outlier payment of 60% of the excess amount is included. For transfer scenarios, reimbursement is the lesser of a per diem of $0.00 and the sum of the standard inlier and any outlier amount.","6024.69","6024.69","6024.69","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MODERATE","251","DRG","","","","","","","","inpatient","","","24416.98","","WELLSENSE [1003]","HB BWF WELLSENSE MCO","5450.23","","Case rate ($6,026.16). If cost, defined as total billed times cost-to-charge ratio (0.4262), exceeds outlier threshold $48,456.16, an outlier payment of 60% of the excess amount is included. For transfer scenarios, reimbursement is the lesser of a per diem of $0.00 and the sum of the standard inlier and any outlier amount.","6024.69","6024.69","6024.69","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","AETNA [1001]","HB CH AETNA HMO / PPO","1254.62","58.3","","1186.73","1186.73","1186.73","1 through 10","761.55","1676.62","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","HARVARD PILGRIM ALTERNATE [120002]","HB CH HPHC ALLIANCE PPO PREFERRED B","761.55","","Case rate ($761.55). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 259%, 129.5 procedures at 0%.","1972.41","1972.41","1972.41","1 through 10","761.55","1676.62","other","Multiple Surgery"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2152.00","1614.00","MEDICARE [2001]","HB BWF MEDICARE","1113.41","","APC Price ($1,113.41). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.256). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","1113.41","989.36","1113.41","23","761.55","1676.62","other","OPPS APC"
