hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Massachusetts Eye and Ear,2026-03-27,3.0.0,Massachusetts Eye and Ear,243 Charles St Boston MA 02114,2167,1639101751,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"Abltj 1/+Thyroid Nodule 1 Lobe/Isthmus Perq Rf","PX-76010309","CDM","60660","CPT","0761","RC","","","","both","","","5166.00","3874.50","UNITED HEALTHCARE [1016]","HB MEE UNITED","3919.96","75.88","","3579.84","3579.84","3579.84","1 through 10","1923.94","3919.96","percent of total billed charges",""
"Abltj 1/+Thyroid Nodule 1 Lobe/Isthmus Perq Rf","PX-76010309","CDM","60660","CPT","0761","RC","","","","both","","","5166.00","3874.50","UNITED HEALTHCARE ALTERNATE [1020]","HB MEE HARVARD PILGRIM","3404.39","65.9","","3392.17","3392.17","3392.17","1 through 10","1923.94","3919.96","percent of total billed charges",""
"Abltj 1/+Thyroid Nodule 1 Lobe/Isthmus Perq Rf","PX-76010309","CDM","60660","CPT","0761","RC","","","","both","","","5166.00","3874.50","WELLPOINT [1015]","HB MEE WELLPOINT","3618.27","70.04","","3555.25","3555.25","3555.25","1 through 10","1923.94","3919.96","percent of total billed charges",""
"Abltj 1/+Thyroid Nodule 1 Lobe/Isthmus Perq Rf","PX-76010309","CDM","60660","CPT","0761","RC","","","","outpatient","","","5166.00","3874.50","BLUE CROSS BLUE SHIELD [110001]","HB MEE BLUE CROSS","3627.05","70.21","","3864.87","3864.87","3864.87","1 through 10","818.35","4003.65","percent of total billed charges",""
"Abltj 1/+Thyroid Nodule 1 Lobe/Isthmus Perq Rf","PX-76010309","CDM","60660","CPT","0761","RC","","","","outpatient","","","5166.00","3874.50","CIGNA [1006]","HB MEE CIGNA","4003.65","77.5","","4016.40","1214.35","4016.40","1 through 10","818.35","4003.65","percent of total billed charges",""
"Abobotulinum Toxin a Vl 5u","PX-63600072","CDM","J0586","HCPCS","0636","RC","","","","both","","","26.00","19.50","AETNA [1001]","HB MEE MEDICARE","8.75","","APC Price ($8.75).","9.34","8.81","9.47","174","8.4","20.16","other","OPPS APC"
"Abobotulinum Toxin a Vl 5u","PX-63600072","CDM","J0586","HCPCS","0636","RC","","","","both","","","26.00","19.50","BLUE CROSS BLUE SHIELD [110001]","HB MEE MEDICARE","8.75","","APC Price ($8.75).","8.49","8.39","8.49","48","8.4","20.16","other","OPPS APC"
"Abobotulinum Toxin a Vl 5u","PX-63600072","CDM","J0586","HCPCS","0636","RC","","","","both","","","26.00","19.50","MEDICARE [2001]","HB MEE MEDICARE","8.75","","APC Price ($8.75).","36.18","9.04","36.18","335","8.4","20.16","other","OPPS APC"
"Abobotulinum Toxin a Vl 5u","PX-63600072","CDM","J0586","HCPCS","0636","RC","","","","both","","","26.00","19.50","MOLINA [1014]","HB MEE MEDICARE","8.75","","APC Price ($8.75).","17.12","16.92","17.94","364","8.4","20.16","other","OPPS APC"
"ABUTMENT COCHLEAR 6MM OTICON PONTO PRO","SUP-ITM-10285281","CDM","L8690","HCPCS","0278","RC","","","","both","","","5174.76","3881.07","AETNA [1001]","HB MEE AETNA","2649.48","51.2","","3013.31","3013.31","3013.31","1 through 10","2649.48","3926.61","percent of total billed charges",""
"ABUTMENT COCHLEAR 6MM OTICON PONTO PRO","SUP-ITM-10285281","CDM","L8690","HCPCS","0278","RC","","","","both","","","5174.76","3881.07","UNITED HEALTHCARE [1016]","HB MEE UNITED","3926.61","75.88","","2376.95","2376.95","2376.95","1 through 10","2649.48","3926.61","percent of total billed charges",""
"ABUTMENT COCHLEAR 6MM OTICON PONTO PRO","SUP-ITM-10285281","CDM","L8690","HCPCS","0278","RC","","","","both","","","5174.76","3881.07","WELLPOINT [1015]","HB MEE WELLPOINT","3624.40","70.04","","4010.58","2649.79","4010.58","1 through 10","2649.48","3926.61","percent of total billed charges",""
"ABUTMENT EAR 10MM COCHL DERMALOCK BAHA TWO STAGE SURGERY","SUP-ITM-10133329","CDM","L8690","HCPCS","0278","RC","","","","both","","","4218.76","3164.07","AETNA [1001]","HB MEE AETNA","2160.01","51.2","","3013.31","3013.31","3013.31","1 through 10","2160.01","3201.2","percent of total billed charges",""
"ABUTMENT EAR 10MM COCHL DERMALOCK BAHA TWO STAGE SURGERY","SUP-ITM-10133329","CDM","L8690","HCPCS","0278","RC","","","","both","","","4218.76","3164.07","UNITED HEALTHCARE [1016]","HB MEE UNITED","3201.20","75.88","","2376.95","2376.95","2376.95","1 through 10","2160.01","3201.2","percent of total billed charges",""
"ABUTMENT EAR 10MM COCHL DERMALOCK BAHA TWO STAGE SURGERY","SUP-ITM-10133329","CDM","L8690","HCPCS","0278","RC","","","","both","","","4218.76","3164.07","WELLPOINT [1015]","HB MEE WELLPOINT","2954.82","70.04","","4010.58","2649.79","4010.58","1 through 10","2160.01","3201.2","percent of total billed charges",""
"ABUTMENT HEALING 3X5 RP CONICAL CONNECTION","SUP-ITM-10329114","CDM","C1713","HCPCS","0278","RC","","","","both","","","136.80","102.60","AETNA [1001]","HB MEE AETNA","70.04","51.2","","142.45","142.45","713.46","1 through 10","70.04","103.8","percent of total billed charges",""
